episode,exec_time_s,reward_total,total_profit_cost,user_satisfaction,energy_charged_kwh,energy_discharged_kwh,transformer_overload_kwh,battery_degradation,battery_deg_calendar,battery_deg_cyclic,total_ev_served,seed,phase
0,6.143,-18.833025187253952,28.094641556903248,0.21428571428571427,0.0,163.37205979359035,0.0,0.00030977318818866756,5.309453378425312e-05,0.00025667865440441443,4.0,42,Proxy_M2
1,6.325,2.063942726701498,8.152599076409292,0.44857142857142857,2.2670189481978333,77.06428900163311,0.0,0.00013819023511610286,4.445618422521883e-05,9.373405089088402e-05,4.0,42,Proxy_M2
2,5.861,3.8210375607013702,39.01678805408001,0.21428571428571427,0.0,122.8373871630695,0.0,0.00023101107682954158,2.926324493249604e-05,0.00020174783189704556,3.0,42,Proxy_M2
3,5.914,51.94556576013565,106.46146462703084,0.22299999999999995,0.0,214.11182919448814,0.0,0.0004212321995845124,6.337595317407642e-05,0.00035785624641043593,5.0,42,Proxy_M2
4,5.737,68.70301079750061,146.84710278548803,0.220204081632653,0.0,266.19312843798684,0.0,0.0004910252091641908,6.96037797716257e-05,0.00042142142939256524,7.0,42,Proxy_M2
5,5.89,30.991365373134613,82.94059620944357,0.23125714285714288,0.0,219.09905224493116,0.0,0.00042289653418625705,5.267677445750584e-05,0.0003702197597287512,5.0,42,Proxy_M2
6,6.079,40.35819426178932,87.28586098047063,0.21428571428571427,0.0,163.15645279663846,0.0,0.0003096314293842905,3.6221107747055104e-05,0.00027341032163723537,4.0,42,Proxy_M2
7,5.833,-16.962633401155472,6.860570080586922,0.3304761904761905,0.0,105.88510403476614,0.0,0.00019756329556662683,4.335276700029677e-05,0.00015421052856633006,3.0,42,Proxy_M2
8,5.734,-6.461343768984079,18.148059012969263,0.34766666666666673,1.5367309021009472,172.96706384902467,0.0,0.00030579043989115357,6.46602331504433e-05,0.00024113020674071023,6.0,42,Proxy_M2
9,5.891,-12.141826651990414,24.566700598888794,0.2948571428571428,8.64750614390068,179.75555757201033,0.0,0.00034185385860572887,5.1615002884173504e-05,0.00029023885572155536,5.0,42,Proxy_M2
10,6.288,-3.921905233291909,7.288281781224829,0.3223571428571429,0.5232179079504101,67.78354508248528,0.0,0.00012300457650576917,2.3152832551472083e-05,9.985174395429707e-05,2.0,42,Proxy_M2
11,5.885,-9.240337663330138,10.665953480113208,0.36408571428571423,7.050305884005885,132.8055666468473,0.0,0.00024298054783108487,6.342660414953022e-05,0.00017955394368155463,5.0,42,Proxy_M2
12,5.905,-0.4391918480396271,81.68422595409412,0.21428571428571425,0.0,280.6299990660416,0.0,0.0005202713666202769,7.106717781603062e-05,0.0004492041888042463,7.0,42,Proxy_M2
13,5.618,-5.58891287073493,12.693861350253915,0.33910714285714283,11.69164779203205,137.01330392055516,0.0,0.0002757883366882119,4.9687883878991415e-05,0.00022610045280922042,4.0,42,Proxy_M2
14,6.039,9.471401318907738,25.609508299274346,0.4137142857142857,0.0,160.13023104633763,0.0,0.0002789077984641672,4.763219942011051e-05,0.00023127559904405663,5.0,42,Proxy_M2
15,5.601,-13.350276684388518,20.720412790780887,0.34845238095238096,4.946903383294245,190.75008111269577,0.0,0.0003678594258475224,7.440608995012174e-05,0.00029345333589740066,6.0,42,Proxy_M2
16,6.021,-5.265564232482575,2.176787149478622,0.43885714285714283,8.66247106287807,109.22716999597988,0.0,0.0002072362879274544,5.7492132981116276e-05,0.00014974415494633817,4.0,42,Proxy_M2
