Algorithm,reward_total_mean,reward_total_std,total_profit_cost_mean,total_profit_cost_std,user_satisfaction_mean,user_satisfaction_std,energy_charged_kwh_mean,energy_charged_kwh_std,energy_discharged_kwh_mean,energy_discharged_kwh_std,transformer_overload_kwh_mean,transformer_overload_kwh_std,battery_degradation_mean,battery_degradation_std,battery_deg_calendar_mean,battery_deg_calendar_std,battery_deg_cyclic_mean,battery_deg_cyclic_std,total_ev_served_mean,total_ev_served_std,exec_time_s_mean,exec_time_s_std
PPO_Phase1,-2.307214,22.170968,37.411599,34.591866,0.292282,0.084671,2.642773,4.088116,175.081859,70.148543,0.0,0.0,0.000332,0.000133,6.1e-05,2.3e-05,0.000272,0.000117,4.98,1.76372,4.429,0.459283
PPO_Phase2,64.351322,61.053197,106.493052,80.108486,0.367043,0.09682,290.411757,104.623505,519.606972,119.723649,0.0,0.0,0.001265,0.000329,9.4e-05,2.1e-05,0.001171,0.00031,7.79,1.545897,4.34807,0.598475
Paper_PPO_ref,-3700.0,8900.0,23.7,10.2,0.46,0.09,36.0,16.0,123.0,38.0,37.0,89.0,0.00058,0.00014,,,,,,,0.13,0.27
