number,value,datetime_start,datetime_complete,duration,params_bs,params_clip_range,params_discharge_price_factor,params_ent_coef,params_gae_lambda,params_gamma,params_lr,params_max_grad_norm,params_n_epochs,params_n_layers,params_n_steps,params_pi_l0,params_pi_l1,params_pi_l2,params_pi_l3,params_spawn_multiplier,params_transformer_max_power,params_use_sde,params_vf_coef,params_vf_l0,params_vf_l1,params_vf_l2,params_vf_l3,user_attrs_yaml_path,state
13,-0.23977074088907102,2026-05-25 05:45:06.545494,2026-05-25 05:56:21.758587,0 days 00:11:15.213093,512,0.39358154841830606,1.3352829235923602,0.01367009952175001,0.9772990416653553,0.935313693001099,0.002732952998754961,0.4857958252418944,7,3,512,256,512,128.0,,5,200,False,0.30857914245546186,64,64,512.0,,results_ppo_model1/optuna_phase2/trial_13.yaml,COMPLETE
14,15.110119361575926,2026-05-25 05:56:21.759826,2026-05-25 06:07:53.439883,0 days 00:11:31.680057,512,0.33789843986079143,1.3389535104377022,0.015473133854032423,0.9428519601913504,0.9932397429453428,0.002593781919575748,0.6718205839712107,11,3,2048,128,256,128.0,,6,150,False,0.6009821912414487,64,64,512.0,,results_ppo_model1/optuna_phase2/trial_14.yaml,COMPLETE
15,12.954809071030468,2026-05-25 06:07:53.441227,2026-05-25 06:18:37.203747,0 days 00:10:43.762520,512,0.3396981013799895,1.2320152761466976,0.010131456634828482,0.971790993420242,0.968831656064104,0.00040479339066932303,0.45505657916607356,6,4,1024,256,64,128.0,128.0,5,200,False,0.3866586521369586,64,256,512.0,512.0,results_ppo_model1/optuna_phase2/trial_15.yaml,COMPLETE
16,4.496016467865502,2026-05-25 06:18:37.206759,2026-05-25 06:30:42.153834,0 days 00:12:04.947075,256,0.29904166859034664,1.3913108396237281,0.020430651062098387,0.9879633858656484,0.9326571887606296,0.0014662821367517009,0.6979629253357537,5,3,512,128,256,64.0,,4,150,False,0.38670083103524167,64,256,64.0,,results_ppo_model1/optuna_phase2/trial_16.yaml,COMPLETE
17,24.665412268135697,2026-05-25 06:30:42.157506,2026-05-25 06:45:24.431541,0 days 00:14:42.274035,512,0.3981719025263138,1.4920698356239395,0.010723807521771728,0.9693521429493905,0.9014633393122939,0.0027572684523910983,0.3193319429351438,10,4,1024,256,64,256.0,64.0,5,250,False,0.5793245624794144,512,64,128.0,128.0,results_ppo_model1/optuna_phase2/trial_17.yaml,COMPLETE
18,37.44207661447581,2026-05-25 06:45:24.436990,2026-05-25 07:00:11.711273,0 days 00:14:47.274283,512,0.3935622515050021,1.4668971967961015,0.00960987998081844,0.9455926554049093,0.9506798925198252,0.0027583571032453063,0.4192244504145747,11,4,512,512,512,256.0,64.0,6,250,False,0.5942342234362934,512,512,128.0,128.0,results_ppo_model1/optuna_phase2/trial_18.yaml,COMPLETE
19,0.20615443191491067,2026-05-25 07:00:11.712829,2026-05-25 07:14:30.276886,0 days 00:14:18.564057,512,0.3996264332219359,1.4762635429949158,7.813647078756293e-05,0.9444200674353384,0.9022319142241851,0.0015457323320397732,0.3153240603740933,9,4,2048,512,512,256.0,64.0,6,250,False,0.6043735655832031,512,512,128.0,128.0,results_ppo_model1/optuna_phase2/trial_19.yaml,COMPLETE
20,41.87615410727449,2026-05-25 07:14:30.278791,2026-05-25 07:26:17.462063,0 days 00:11:47.183272,512,0.37118836488356133,1.4992570867239765,0.008357187229680233,0.9370751082586282,0.9527272989519344,0.0003796258135625388,0.40655338860314433,12,4,512,512,512,256.0,64.0,6,250,False,0.9952461778648662,512,512,128.0,128.0,results_ppo_model1/optuna_phase2/trial_20.yaml,COMPLETE
21,36.920690089755226,2026-05-25 07:26:17.463866,2026-05-25 07:36:11.733073,0 days 00:09:54.269207,512,0.39919597944481805,1.4916124027552211,0.006662061508057839,0.9351435739736547,0.9500305479886278,0.002963981006073871,0.4039153821857899,13,4,512,512,512,256.0,64.0,6,250,False,0.9751507167511543,512,512,128.0,128.0,results_ppo_model1/optuna_phase2/trial_21.yaml,COMPLETE
22,27.63484133942984,2026-05-25 07:36:11.735351,2026-05-25 07:46:12.991310,0 days 00:10:01.255959,512,0.35759758977826406,1.4934989261502076,0.005849175452926236,0.9358125981529549,0.9499275394667726,0.00046885208794499554,0.4046309709546737,13,4,512,512,512,256.0,64.0,6,250,False,0.9960151654501762,512,512,128.0,128.0,results_ppo_model1/optuna_phase2/trial_22.yaml,COMPLETE
23,25.82180623957538,2026-05-25 07:46:12.992629,2026-05-25 07:56:55.398142,0 days 00:10:42.405513,512,0.37779140733340555,1.4021672156149974,0.007077546200426325,0.906393362625004,0.9518082222954779,0.0013990771924939107,0.42104915380050195,13,4,512,512,512,256.0,64.0,6,250,False,0.977885540888423,512,512,128.0,128.0,results_ppo_model1/optuna_phase2/trial_23.yaml,COMPLETE
24,-6.917549991613669,2026-05-25 07:56:55.400390,2026-05-25 08:06:23.346467,0 days 00:09:27.946077,512,0.37632391737921866,1.4038880249660715,0.0005243099536025517,0.9469908193035631,0.9455003023230331,0.00021963130794401862,0.43700465766700297,14,4,512,512,512,256.0,128.0,6,300,False,0.946272925980387,512,512,128.0,256.0,results_ppo_model1/optuna_phase2/trial_24.yaml,COMPLETE
25,59.96903367914638,2026-05-25 08:06:23.349410,2026-05-25 08:15:25.833014,0 days 00:09:02.483604,1024,0.3362502243358399,1.4947833211070816,0.01057815811871766,0.9362658256402622,0.9569192868998581,0.0011909852594364481,0.36185305828638525,12,4,512,512,512,256.0,512.0,6,250,False,0.9073900171213435,512,512,128.0,512.0,results_ppo_model1/optuna_phase2/trial_25.yaml,COMPLETE
26,10.531239451287547,2026-05-25 08:15:25.835805,2026-05-25 08:24:23.532894,0 days 00:08:57.697089,1024,0.32802546095328894,1.280047455970341,0.011179366332162108,0.9486596488017476,0.9751966692903503,0.0005729478378525989,0.34918132623055875,11,4,512,512,512,256.0,512.0,6,200,True,0.8963680302253864,512,512,128.0,512.0,results_ppo_model1/optuna_phase2/trial_26.yaml,COMPLETE
27,30.522868657839354,2026-05-25 08:24:23.534936,2026-05-25 08:33:27.297059,0 days 00:09:03.762123,1024,0.3420335975366441,1.440102239061849,0.011818627860078883,0.937385445415911,0.9596639621762932,0.0011779957274428013,0.4636298852928918,12,4,512,512,512,256.0,512.0,5,300,False,0.9374206418542355,512,512,128.0,512.0,results_ppo_model1/optuna_phase2/trial_27.yaml,COMPLETE
28,21.78394620618019,2026-05-25 08:33:27.299504,2026-05-25 08:42:10.677762,0 days 00:08:43.378258,1024,0.36681266736040935,1.382012035947263,0.008732121346166756,0.9534090188445014,0.9412938406745155,0.0005348088711600009,0.35534337437960595,9,3,512,512,512,256.0,,4,250,False,0.8398531411359351,128,512,128.0,,results_ppo_model1/optuna_phase2/trial_28.yaml,COMPLETE
29,10.922899698884066,2026-05-25 08:42:10.680089,2026-05-25 08:52:47.596529,0 days 00:10:36.916440,1024,0.31788648204591075,1.4416689704493144,0.003980054899072152,0.9303612029503293,0.9543990507694953,0.0009568715575870505,0.3015846520902323,20,4,512,512,512,64.0,256.0,6,250,False,0.8159000186982687,512,512,64.0,64.0,results_ppo_model1/optuna_phase2/trial_29.yaml,COMPLETE
