number,value,datetime_start,datetime_complete,duration,params_bs,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_lr,params_max_grad_norm,params_n_epochs,params_n_layers,params_n_steps,params_pi_l0,params_pi_l1,params_pi_l2,params_pi_l3,params_use_sde,params_vf_coef,params_vf_l0,params_vf_l1,params_vf_l2,params_vf_l3,state
11,-4.579870470281094,2026-05-24 23:59:27.667267,2026-05-25 00:08:25.265672,0 days 00:08:57.598405,512,0.3969544684656929,0.016083838926278793,0.9976612545478191,0.9071285989564483,0.00016933802006103047,0.7135654589650925,7,2,1024,64,64,,,False,0.9814245788849318,128,256,,,COMPLETE
12,-15.809320136380848,2026-05-25 00:08:25.268523,2026-05-25 00:16:50.612375,0 days 00:08:25.343852,512,0.22767683930914867,0.012829991912649392,0.9697877811775496,0.967628012714634,0.00019367373310786372,0.8358589172782038,12,2,2048,64,256,,,False,0.5091435106815974,128,512,,,COMPLETE
13,-2.5316072422477873,2026-05-25 00:16:50.614166,2026-05-25 00:24:32.326140,0 days 00:07:41.711974,1024,0.2323423394547424,0.029111174050850636,0.9681385910131566,0.9764728130160419,0.00010789369423401513,0.3104267391951022,7,2,1024,64,64,,,False,0.30632330738456687,128,64,,,COMPLETE
14,-5.202741699395119,2026-05-25 00:24:32.328638,2026-05-25 00:33:53.887549,0 days 00:09:21.558911,512,0.2734127086458016,0.019964732415940312,0.9981494183552132,0.9545063751342316,0.0004376875373151534,0.6561141695401626,10,3,512,64,512,64.0,,True,0.6123875122211699,64,64,256.0,,COMPLETE
15,11.259032200207002,2026-05-25 00:33:53.890247,2026-05-25 00:42:52.999958,0 days 00:08:59.109711,1024,0.19562277879884704,0.011410322417090418,0.9400127066693801,0.994521195419366,5.644099259127042e-05,0.7985156310544189,6,2,2048,64,64,,,False,0.8728731926304354,256,512,,,COMPLETE
16,3.439376966905911,2026-05-25 00:42:53.004049,2026-05-25 00:52:03.112149,0 days 00:09:10.108100,512,0.1890340490055629,0.025186821523594062,0.9411770181395814,0.9934427144010645,0.00035687368212260174,0.7515516479544131,7,3,2048,64,64,512.0,,False,0.8970980831936134,256,512,128.0,,COMPLETE
17,7.143735020985332,2026-05-25 00:52:03.117063,2026-05-25 01:01:40.398818,0 days 00:09:37.281755,256,0.17976706559419214,0.017374200205138732,0.9430661641503131,0.9947764542202554,0.00021960901987878973,0.759747181856832,7,2,2048,512,64,,,False,0.8734400212209757,256,512,,,COMPLETE
18,10.112724266684381,2026-05-25 01:01:40.400479,2026-05-25 01:12:09.556354,0 days 00:10:29.155875,256,0.10007863369141387,0.00970083840460565,0.944439811640859,0.9989530978206411,4.342190289478084e-05,0.7656222405981624,6,2,2048,512,64,,,False,0.853037718041613,256,512,,,COMPLETE
19,-13.744756772248365,2026-05-25 01:12:09.559986,2026-05-25 01:23:21.496789,0 days 00:11:11.936803,256,0.10834246243548373,0.008599175862441992,0.9014969404732858,0.9824489423733465,1.066283513981498e-05,0.7893647169818274,12,2,2048,512,64,,,False,0.7604536128213535,256,512,,,COMPLETE
20,8.24657581280917,2026-05-25 01:23:21.497984,2026-05-25 01:35:07.591681,0 days 00:11:46.093697,256,0.10215719841558944,0.01349697053607183,0.9508185928678792,0.9980504510333037,5.212567759262347e-05,0.8941960561451897,16,2,2048,512,256,,,False,0.9979972881598592,256,128,,,COMPLETE
21,-10.616858133862479,2026-05-25 01:35:07.595667,2026-05-25 01:46:55.335056,0 days 00:11:47.739389,256,0.10743279684349008,0.012692731844940972,0.950230920050021,0.997791894437859,4.242063708256284e-05,0.8965037789904928,17,2,2048,512,256,,,False,0.9989476812845945,256,128,,,COMPLETE
22,6.74406874232227,2026-05-25 01:46:55.338473,2026-05-25 01:58:24.717330,0 days 00:11:29.378857,256,0.13518918592045473,0.00798735638993875,0.9448317526685919,0.9988843648765181,6.810606033983804e-05,0.9034155882629135,16,2,2048,512,256,,,False,0.8513421721509733,256,128,,,COMPLETE
23,-8.901173611038303,2026-05-25 01:58:24.718444,2026-05-25 02:07:30.451877,0 days 00:09:05.733433,256,0.15956924863132388,0.013946918648073217,0.9356859215804241,0.9870810940600913,3.222426188039277e-05,0.8108628821162278,14,2,2048,512,256,,,False,0.9212716252919019,256,128,,,COMPLETE
24,-10.510671988849936,2026-05-25 02:07:30.453754,2026-05-25 02:15:58.837424,0 days 00:08:28.383670,256,0.10188251730447798,0.019207996162243453,0.9531278932586967,0.9759123626863878,7.673388545964381e-05,0.8564580557148808,5,2,2048,512,256,,,False,0.99835837910149,256,256,,,COMPLETE
25,-6.2111785196992955,2026-05-25 02:15:58.839017,2026-05-25 02:24:45.634752,0 days 00:08:46.795735,1024,0.1395180248988747,0.010922119697610914,0.9331664097642453,0.9886412110683758,2.754734696169661e-05,0.9491997468664827,16,2,512,256,64,,,False,0.8361307173090657,256,128,,,COMPLETE
26,-13.243467053041968,2026-05-25 02:24:45.637317,2026-05-25 02:35:43.328595,0 days 00:10:57.691278,256,0.12432765556049825,0.015334525904510305,0.9458739490606545,0.981007979463835,0.00012337519967231612,0.7888853718920608,18,2,2048,512,64,,,False,0.9371458246300592,256,512,,,COMPLETE
27,-3.8849976315541426,2026-05-25 02:35:43.331340,2026-05-25 02:46:20.939234,0 days 00:10:37.607894,256,0.15917760263490702,0.006001215092701121,0.9369829840517347,0.9918858596375566,4.599020536887791e-05,0.7052961803433735,11,3,2048,512,256,64.0,,False,0.9041325590405357,64,512,64.0,,COMPLETE
28,6.478629586839816,2026-05-25 02:46:20.941197,2026-05-25 02:55:14.343328,0 days 00:08:53.402131,1024,0.2064546908426547,5.5206706457285384e-05,0.9238563765483803,0.9985635721116757,9.500851545487816e-05,0.8643309208544532,6,2,2048,256,128,,,False,0.866413683926748,256,128,,,COMPLETE
29,-6.529728018940659,2026-05-25 02:55:14.344855,2026-05-25 03:03:52.043802,0 days 00:08:37.698947,1024,0.1586160766501563,0.006154300638206308,0.9586431250429434,0.9762263784987486,5.7058513532648285e-05,0.9975373331636673,3,3,512,128,256,512.0,,False,0.7938930683468335,256,512,128.0,,COMPLETE
