Algorithm,reward_total_mean,reward_total_std,total_profit_cost_mean,total_profit_cost_std,user_satisfaction_mean,user_satisfaction_std,energy_charged_kwh_mean,energy_charged_kwh_std,energy_discharged_kwh_mean,energy_discharged_kwh_std,transformer_overload_kwh_mean,transformer_overload_kwh_std,battery_degradation_mean,battery_degradation_std,battery_deg_calendar_mean,battery_deg_calendar_std,battery_deg_cyclic_mean,battery_deg_cyclic_std,total_ev_served_mean,total_ev_served_std,exec_time_s_mean,exec_time_s_std,note
TRPO_Phase1,9.816595,16.854425,36.25993,35.506339,0.379737,0.142174,5.329487,9.401377,144.800346,69.588524,0.0,0.0,0.000273,0.000123,7.1e-05,3e-05,0.000202,0.000114,4.98,1.76372,5.0327,0.662243,
TRPO_Phase2,16.9906,39.854303,54.459028,49.914257,0.319645,0.118024,46.065385,53.019878,204.093089,76.176082,0.0,0.0,0.000453,0.000198,5.3e-05,2.1e-05,0.0004,0.000179,4.98,1.76372,6.15797,0.505615,
Paper_TRPO_ref (EV2Gym Table VII — no HPO),-700.0,1300.0,13.5,8.5,0.57,0.1,41.0,17.0,88.0,30.0,7.0,13.0,0.00052,0.00012,,,,,,,0.13,0.01,TRPO evaluated in EV2Gym Table VII without HPO. Our framework adds two-phase Optuna HPO.
