number,value,datetime_start,datetime_complete,duration,params_bs,params_cg,params_discharge_price_factor,params_gae_lambda,params_gamma,params_lr,params_n_layers,params_n_steps,params_ncu,params_pi_l0,params_pi_l1,params_pi_l2,params_pi_l3,params_spawn_multiplier,params_ssf,params_target_kl,params_transformer_max_power,params_vf_l0,params_vf_l1,params_vf_l2,params_vf_l3,user_attrs_yaml_path,state
17,-5.660262425197288,2026-05-25 07:02:08.471696,2026-05-25 07:16:50.009988,0 days 00:14:41.538292,256,15,1.4017738566070472,0.9184340215136333,0.9138863027257523,0.00015050626290337551,3,1024,20,128,256,256.0,,2,4,0.017299377414590342,300,64,512,512.0,,results_trpo_model1/optuna_phase2/trial_17.yaml,COMPLETE
18,28.34234775765799,2026-05-25 07:16:50.013127,2026-05-25 07:30:40.611807,0 days 00:13:50.598680,64,15,1.4920642119617242,0.9158607935749888,0.9349908302510977,0.00016185610265745067,2,512,20,128,256,,,3,4,0.024274484238690303,300,64,512,,,results_trpo_model1/optuna_phase2/trial_18.yaml,COMPLETE
19,-8.77432874700753,2026-05-25 07:30:40.613572,2026-05-25 07:43:39.107318,0 days 00:12:58.493746,64,20,1.3085143903674936,0.9335629509350736,0.9386319824947664,0.0006677239945224387,2,512,20,64,128,,,4,4,0.028769579014024906,300,64,64,,,results_trpo_model1/optuna_phase2/trial_19.yaml,COMPLETE
20,-13.758012848917588,2026-05-25 07:43:39.109461,2026-05-25 07:57:26.217781,0 days 00:13:47.108320,64,20,1.4026486043926225,0.9114133437888666,0.9337653622720393,0.00024242402053296588,2,512,20,256,256,,,6,4,0.01048022543453256,250,256,128,,,results_trpo_model1/optuna_phase2/trial_20.yaml,COMPLETE
21,26.027822736359667,2026-05-25 07:57:26.220628,2026-05-25 08:09:23.352884,0 days 00:11:57.132256,64,15,1.4915944855191874,0.9146235198150029,0.9147480788386405,0.00014625793843198035,2,512,20,128,256,,,3,4,0.018259868700227312,300,64,512,,,results_trpo_model1/optuna_phase2/trial_21.yaml,COMPLETE
22,24.108031538373325,2026-05-25 08:09:23.355046,2026-05-25 08:20:51.132358,0 days 00:11:27.777312,64,15,1.4944462695209029,0.9246465556190373,0.9233941910786995,0.0001271965417846275,2,512,20,128,256,,,3,4,0.019639958765954257,300,64,512,,,results_trpo_model1/optuna_phase2/trial_22.yaml,COMPLETE
23,6.100338076808839,2026-05-25 08:20:51.134704,2026-05-25 08:32:39.054212,0 days 00:11:47.919508,64,15,1.497424380845597,0.9274009331008789,0.9277801402716964,0.0001172188961836719,2,512,20,128,256,,,2,4,0.02153182086211015,300,64,512,,,results_trpo_model1/optuna_phase2/trial_23.yaml,COMPLETE
24,22.583709460108366,2026-05-25 08:32:39.056150,2026-05-25 08:44:48.825798,0 days 00:12:09.769648,64,15,1.3883017408954352,0.9136717469886306,0.9225609186319192,0.00011164751206465305,2,512,20,128,256,,,3,4,0.03388309582521336,250,64,512,,,results_trpo_model1/optuna_phase2/trial_24.yaml,COMPLETE
25,-14.39937684841425,2026-05-25 08:44:48.827082,2026-05-25 09:00:51.023762,0 days 00:16:02.196680,64,15,1.4217116153839422,0.923475787725842,0.9115150813378848,0.00024348816628936033,2,512,20,128,256,,,4,4,0.018459500809225638,300,64,512,,,results_trpo_model1/optuna_phase2/trial_25.yaml,COMPLETE
26,-15.430252303485759,2026-05-25 09:00:51.025874,2026-05-25 09:18:51.616896,0 days 00:18:00.591022,64,15,1.3364246491157075,0.9330458593289962,0.9391277504577977,0.0001771126227495408,2,512,20,128,256,,,4,4,0.03160316328715515,250,64,512,,,results_trpo_model1/optuna_phase2/trial_26.yaml,COMPLETE
27,17.555562076711794,2026-05-25 09:18:51.626324,2026-05-25 09:33:54.255193,0 days 00:15:02.628869,64,15,1.4284317841795884,0.9401941334650594,0.9235165204028651,0.00010712289989809786,2,512,20,128,128,,,3,4,0.04765104510425661,300,64,512,,,results_trpo_model1/optuna_phase2/trial_27.yaml,COMPLETE
28,6.166756395847187,2026-05-25 09:33:54.256595,2026-05-25 09:47:16.902226,0 days 00:13:22.645631,64,15,1.4989709354845646,0.9110319880049033,0.933462208288316,3.973948862962235e-05,3,512,20,64,64,512.0,,2,4,0.020878311695921758,300,64,64,512.0,,results_trpo_model1/optuna_phase2/trial_28.yaml,COMPLETE
29,2.6635779958742205,2026-05-25 09:47:16.904443,2026-05-25 09:59:37.792735,0 days 00:12:20.888292,64,15,1.272733486534289,0.9250673818450295,0.91881895957408,0.00027261995753017027,3,512,5,256,256,256.0,,3,2,0.040046950356102944,150,512,512,128.0,,results_trpo_model1/optuna_phase2/trial_29.yaml,COMPLETE
