trial,value,best_so_far,n_trials_budget
0,0.314808604773134,0.314808604773134,30
1,-4.511850589129608,0.314808604773134,30
2,4.789502449100837,4.789502449100837,30
3,20.448568297550082,20.448568297550082,30
4,-0.8691947181359865,20.448568297550082,30
5,-0.2706866867374629,20.448568297550082,30
6,-14.988562724553049,20.448568297550082,30
7,-18.7815161626786,20.448568297550082,30
8,-16.174631390022114,20.448568297550082,30
9,-22.005950863473117,20.448568297550082,30
10,17.142222521826625,20.448568297550082,30
11,17.52093747444451,20.448568297550082,30
12,21.717692207545042,21.717692207545042,30
13,18.64313338510692,21.717692207545042,30
14,21.58212350308895,21.717692207545042,30
15,4.866962612373754,21.717692207545042,30
16,-10.112644842127338,21.717692207545042,30
17,23.68786951340735,23.68786951340735,30
18,-3.3579840111196972,23.68786951340735,30
19,-8.020424788584933,23.68786951340735,30
20,23.0116963343753,23.68786951340735,30
21,23.20067860832205,23.68786951340735,30
22,23.130577804753557,23.68786951340735,30
23,23.311633999459445,23.68786951340735,30
24,18.214525571092963,23.68786951340735,30
25,22.715189930051565,23.68786951340735,30
26,20.539552721194923,23.68786951340735,30
27,26.08371685259044,26.08371685259044,30
28,-1.4565303451381624,26.08371685259044,30
29,-3.5501307251979597,26.08371685259044,30
0,0.314808604773134,0.314808604773134,60
1,-4.511850589129608,0.314808604773134,60
2,4.789502449100837,4.789502449100837,60
3,20.448568297550082,20.448568297550082,60
4,-0.8691947181359865,20.448568297550082,60
5,-0.2706866867374629,20.448568297550082,60
6,-14.988562724553049,20.448568297550082,60
7,-18.7815161626786,20.448568297550082,60
8,-16.174631390022114,20.448568297550082,60
9,-22.005950863473117,20.448568297550082,60
10,17.142222521826625,20.448568297550082,60
11,17.52093747444451,20.448568297550082,60
12,21.717692207545042,21.717692207545042,60
13,18.64313338510692,21.717692207545042,60
14,21.58212350308895,21.717692207545042,60
15,4.866962612373754,21.717692207545042,60
16,-10.112644842127338,21.717692207545042,60
17,23.68786951340735,23.68786951340735,60
18,-3.3579840111196972,23.68786951340735,60
19,-8.020424788584933,23.68786951340735,60
20,23.0116963343753,23.68786951340735,60
21,23.20067860832205,23.68786951340735,60
22,23.130577804753557,23.68786951340735,60
23,23.311633999459445,23.68786951340735,60
24,18.214525571092963,23.68786951340735,60
25,22.715189930051565,23.68786951340735,60
26,20.539552721194923,23.68786951340735,60
27,26.08371685259044,26.08371685259044,60
28,-1.4565303451381624,26.08371685259044,60
29,-3.5501307251979597,26.08371685259044,60
30,4.10615344834514,26.08371685259044,60
31,20.28845098754391,26.08371685259044,60
32,21.14160510338843,26.08371685259044,60
33,22.54066731641069,26.08371685259044,60
34,20.206897288560867,26.08371685259044,60
35,21.50712973345071,26.08371685259044,60
36,16.967721522320062,26.08371685259044,60
37,-2.5981601900421083,26.08371685259044,60
38,-11.332341148518026,26.08371685259044,60
39,1.7547615747898817,26.08371685259044,60
40,26.27659703977406,26.27659703977406,60
41,27.088002909207717,27.088002909207717,60
42,25.913614184595644,27.088002909207717,60
43,25.895308170467615,27.088002909207717,60
44,27.341659788275138,27.341659788275138,60
45,-3.406128502683714,27.341659788275138,60
46,29.824051749776118,29.824051749776118,60
47,28.495805417886004,29.824051749776118,60
48,6.421640345099149,29.824051749776118,60
49,26.773909983225167,29.824051749776118,60
50,-3.2344736075028777,29.824051749776118,60
51,22.394008432049304,29.824051749776118,60
52,22.866029046475887,29.824051749776118,60
53,30.321814337279648,30.321814337279648,60
54,20.77303854189813,30.321814337279648,60
55,31.456017419463024,31.456017419463024,60
56,-5.559439540265885,31.456017419463024,60
57,19.513422712683678,31.456017419463024,60
58,24.0671325421863,31.456017419463024,60
59,16.405946011887863,31.456017419463024,60
0,0.314808604773134,0.314808604773134,100
1,-4.511850589129608,0.314808604773134,100
2,4.789502449100837,4.789502449100837,100
3,20.448568297550082,20.448568297550082,100
4,-0.8691947181359865,20.448568297550082,100
5,-0.2706866867374629,20.448568297550082,100
6,-14.988562724553049,20.448568297550082,100
7,-18.7815161626786,20.448568297550082,100
8,-16.174631390022114,20.448568297550082,100
9,-22.005950863473117,20.448568297550082,100
10,17.142222521826625,20.448568297550082,100
11,17.52093747444451,20.448568297550082,100
12,21.717692207545042,21.717692207545042,100
13,18.64313338510692,21.717692207545042,100
14,21.58212350308895,21.717692207545042,100
15,4.866962612373754,21.717692207545042,100
16,-10.112644842127338,21.717692207545042,100
17,23.68786951340735,23.68786951340735,100
18,-3.3579840111196972,23.68786951340735,100
19,-8.020424788584933,23.68786951340735,100
20,23.0116963343753,23.68786951340735,100
21,23.20067860832205,23.68786951340735,100
22,23.130577804753557,23.68786951340735,100
23,23.311633999459445,23.68786951340735,100
24,18.214525571092963,23.68786951340735,100
25,22.715189930051565,23.68786951340735,100
26,20.539552721194923,23.68786951340735,100
27,26.08371685259044,26.08371685259044,100
28,-1.4565303451381624,26.08371685259044,100
29,-3.5501307251979597,26.08371685259044,100
30,4.10615344834514,26.08371685259044,100
31,20.28845098754391,26.08371685259044,100
32,21.14160510338843,26.08371685259044,100
33,22.54066731641069,26.08371685259044,100
34,20.206897288560867,26.08371685259044,100
35,21.50712973345071,26.08371685259044,100
36,16.967721522320062,26.08371685259044,100
37,-2.5981601900421083,26.08371685259044,100
38,-11.332341148518026,26.08371685259044,100
39,1.7547615747898817,26.08371685259044,100
40,26.27659703977406,26.27659703977406,100
41,27.088002909207717,27.088002909207717,100
42,25.913614184595644,27.088002909207717,100
43,25.895308170467615,27.088002909207717,100
44,27.341659788275138,27.341659788275138,100
45,-3.406128502683714,27.341659788275138,100
46,29.824051749776118,29.824051749776118,100
47,28.495805417886004,29.824051749776118,100
48,6.421640345099149,29.824051749776118,100
49,26.773909983225167,29.824051749776118,100
50,-3.2344736075028777,29.824051749776118,100
51,22.394008432049304,29.824051749776118,100
52,22.866029046475887,29.824051749776118,100
53,30.321814337279648,30.321814337279648,100
54,20.77303854189813,30.321814337279648,100
55,31.456017419463024,31.456017419463024,100
56,-5.559439540265885,31.456017419463024,100
57,19.513422712683678,31.456017419463024,100
58,24.0671325421863,31.456017419463024,100
59,16.405946011887863,31.456017419463024,100
60,-6.572802621027222,31.456017419463024,100
61,29.552626038901508,31.456017419463024,100
62,27.086198072647676,31.456017419463024,100
63,20.889352241531014,31.456017419463024,100
64,28.753643198913778,31.456017419463024,100
65,27.548805750207976,31.456017419463024,100
66,29.186430130153894,31.456017419463024,100
67,28.470870526332874,31.456017419463024,100
68,32.49891859747004,32.49891859747004,100
69,-3.1284308081958443,32.49891859747004,100
70,26.897102407645434,32.49891859747004,100
71,30.939978063630406,32.49891859747004,100
72,30.89637450418377,32.49891859747004,100
73,31.42193186545046,32.49891859747004,100
74,22.49438101198757,32.49891859747004,100
75,31.445348263718188,32.49891859747004,100
76,30.507932231295854,32.49891859747004,100
77,7.234505182655994,32.49891859747004,100
78,-5.726997286954429,32.49891859747004,100
79,26.061223953962326,32.49891859747004,100
80,27.86687338980846,32.49891859747004,100
81,31.462952653761022,32.49891859747004,100
82,31.565369141229894,32.49891859747004,100
83,28.43487563356757,32.49891859747004,100
84,31.441746666794643,32.49891859747004,100
85,26.483617784339003,32.49891859747004,100
86,30.186968934489414,32.49891859747004,100
87,4.448028036742471,32.49891859747004,100
88,-4.51006416650489,32.49891859747004,100
89,28.436454670591047,32.49891859747004,100
90,28.500528008677065,32.49891859747004,100
91,30.620417758473195,32.49891859747004,100
92,27.26918007963104,32.49891859747004,100
93,30.844553358037956,32.49891859747004,100
94,32.336888103804085,32.49891859747004,100
95,26.57966866408242,32.49891859747004,100
96,31.346059535630047,32.49891859747004,100
97,11.059286755742505,32.49891859747004,100
98,-3.942365290655289,32.49891859747004,100
99,29.722332766046748,32.49891859747004,100
