episode,exec_time_s,reward_total,total_profit_cost,user_satisfaction,energy_charged_kwh,energy_discharged_kwh,transformer_overload_kwh,battery_degradation,battery_deg_calendar,battery_deg_cyclic,total_ev_served,seed,phase
17,2.269,-7.778504978865385,50.885617930878496,0.3452380952380952,158.5596182222619,340.50861996286005,0.0,0.0010250111229689726,0.00010209248629078426,0.0009229186366781885,6.0,42,Proxy_M2
18,2.248,-11.507102401927114,35.429642349178096,0.4761904761904762,142.3514266863288,277.0207699326842,0.0,0.0007327565272185118,7.832377637820524e-05,0.0006544327508403066,6.0,42,Proxy_M2
19,2.228,-14.480861274991184,2.602932318778353,0.5023809523809524,38.77472161818954,102.99437468582792,0.0,0.0002816072300560569,5.349981854639128e-05,0.00022810741150966563,3.0,42,Proxy_M2
20,2.224,-19.72184157045558,38.942280158933904,0.3452380952380952,63.09715193378492,265.43,0.0,0.0006465816860296073,8.354479845223442e-05,0.0005630368875773728,6.0,123,Proxy_M2
21,2.26,-4.589007702190429,8.764689168287418,0.5482142857142858,137.37860618239014,203.97886367953697,0.0,0.000685126215566057,5.5314348108529584e-05,0.0006298118674575273,4.0,123,Proxy_M2
22,2.186,-7.331847965717316,-7.327307293451956,1.0,54.97534818470638,36.89,0.0,0.00018350965696070252,1.2966480899973224e-05,0.0001705431760607293,1.0,123,Proxy_M2
23,2.282,-8.9106125831604,15.711928805973717,0.4107857142857143,85.44403007858114,194.59962287516458,0.0,0.00048453239403181345,4.667076824334001e-05,0.00043786162578847345,4.0,123,Proxy_M2
24,2.281,-28.81351220374927,-0.09754869828949886,0.674795918367347,240.73405573296816,304.19621947791626,0.0,0.0010816071948096754,0.00011463731827952882,0.0009669698765301467,7.0,123,Proxy_M2
25,2.236,-21.138149321079254,49.26328178297024,0.3321904761904761,133.03722197566822,392.36778738888165,0.0,0.0010018738621890267,8.045646416462029e-05,0.0009214173980244063,7.0,123,Proxy_M2
26,2.274,-7.013957284856588,-1.27723516072327,0.6756428571428572,104.06396796932833,124.76940284289971,0.0,0.0004319577987573629,6.020978872188058e-05,0.00037174801003548235,4.0,123,Proxy_M2
27,2.281,12.155553433578461,70.8676220038915,0.40510204081632656,64.18269473402,247.47,0.0,0.0005886753707312958,7.661243488378414e-05,0.0005120629358475115,7.0,123,Proxy_M2
28,2.293,-23.40780560672283,35.649723003316325,0.4468775510204082,229.29507922819496,439.7054097472164,0.0,0.0012165150920260585,0.00015029365090423784,0.0010662214411218207,8.0,123,Proxy_M2
29,2.251,-4.843768879771233,4.240995971714181,0.23985714285714285,29.196208085983347,54.81608918060276,0.0,0.0001733420794175611,2.3416647684634953e-05,0.00014992543173292613,1.0,123,Proxy_M2
30,2.312,-4.831085633952171,13.86457390963342,0.47771428571428565,101.09213069398149,186.7247396330002,0.0,0.0005701728475329041,6.036745418910219e-05,0.0005098053933438019,5.0,123,Proxy_M2
31,2.245,-15.883557642344385,19.338585163598296,0.49714285714285716,226.37628647772257,325.61515189092023,0.0,0.0010471654385089096,8.232295128370821e-05,0.0009648424872252013,5.0,123,Proxy_M2
32,2.285,-13.750087708234787,-1.904049769341949,0.7250357142857142,152.33000000000004,139.05516305455774,0.0,0.0005746530436760615,8.394648260254648e-05,0.0004907065610735151,4.0,123,Proxy_M2
33,2.283,-7.207076225429773,30.96010281173512,0.5060892857142858,299.7525253529799,442.72040068240295,0.0,0.0012548627274150753,0.00012067776066325822,0.001134184966751817,8.0,123,Proxy_M2
34,2.295,34.05278455046937,74.6004098,0.3871428571428571,53.17,187.03000000000003,0.0,0.00046094824949438227,7.983598394866042e-05,0.0003811122655457219,5.0,123,Proxy_M2
35,2.282,-14.996557978913188,3.011766036422534,0.6735918367346938,189.4506813913331,214.80409350025963,0.0,0.0007566820736213912,0.00010241497354787151,0.0006542671000735196,7.0,123,Proxy_M2
36,2.302,-11.479738753754646,0.26125822851670044,0.7380952380952381,154.77498448520112,177.1781696392485,0.0,0.0006401056393409001,4.1028558257140616e-05,0.0005990770810837594,3.0,123,Proxy_M2
37,2.294,-37.67767567047849,9.259070443453599,0.4761904761904762,119.57656718932562,250.40438136811838,0.0,0.0006596794674046989,7.673650928416748e-05,0.0005829429581205315,6.0,123,Proxy_M2
38,2.264,-1.887293060310185,16.254746707411268,0.5924857142857143,188.95726337916375,257.2618132845158,0.0,0.0007869148350221144,9.218804318549684e-05,0.0006947267918366177,5.0,123,Proxy_M2
39,2.299,-12.395409333053976,23.31576100389144,0.5285714285714286,128.6675401508167,240.35605201144793,0.0,0.0006380953718031704,7.99920682343259e-05,0.0005581033035688445,6.0,123,Proxy_M2
40,2.256,-25.439314317307435,10.278939854170455,0.5129047619047619,161.07870951690035,281.4459092988204,0.0,0.0008891635604537436,0.00010518661185012485,0.0007839769486036189,6.0,999,Proxy_M2
