number,value,datetime_start,datetime_complete,duration,params_bs,params_buf,params_discharge_price_factor,params_gamma,params_gs,params_lr,params_lstarts,params_n_layers,params_noise_sigma,params_noise_type,params_pi_l0,params_pi_l1,params_pi_l2,params_pi_l3,params_qf_l0,params_qf_l1,params_qf_l2,params_qf_l3,params_spawn_multiplier,params_tau,params_tf,params_transformer_max_power,user_attrs_yaml_path,state
17,61.56861211524574,2026-05-25 23:20:49.739707,2026-05-26 00:01:56.136854,0 days 00:41:06.397147,512,1000000,1.3866670574447069,0.9473246809691281,4,0.00010679673636938856,5000,3,0.1208017672647672,normal,256,64,512.0,,512,64,128.0,,6,0.002069336743606746,1,300,results_ddpg_model1/optuna_phase2/trial_17.yaml,COMPLETE
18,-1.9396429175976664,2026-05-26 00:01:56.141294,2026-05-26 00:44:56.114023,0 days 00:42:59.972729,256,1000000,1.4107723890183321,0.9770700586114478,4,0.0004118198419022228,5000,4,0.22209482885968804,ou,256,64,128.0,64.0,512,64,512.0,256.0,4,0.001968931916366532,1,300,results_ddpg_model1/optuna_phase2/trial_18.yaml,COMPLETE
19,-0.7943404879188165,2026-05-26 00:44:56.116791,2026-05-26 01:26:53.881064,0 days 00:41:57.764273,512,500000,1.2399688260812007,0.9471620682426558,8,0.00011280809655560976,1000,3,0.1098844660830581,normal,256,64,64.0,,64,64,128.0,,6,0.003961552857406852,1,300,results_ddpg_model1/optuna_phase2/trial_19.yaml,COMPLETE
20,11.225263187250675,2026-05-26 01:26:53.884651,2026-05-26 01:55:14.239355,0 days 00:28:20.354704,512,1000000,1.4361903386411674,0.955945588195026,4,0.0003533523195047855,5000,3,0.16568141932863695,normal,256,64,1024.0,,64,512,64.0,,3,0.008290509177613698,8,300,results_ddpg_model1/optuna_phase2/trial_20.yaml,COMPLETE
21,54.48282509515957,2026-05-26 01:55:14.242209,2026-05-26 02:24:14.193397,0 days 00:28:59.951188,512,1000000,1.3317040495285626,0.9524862714054708,4,4.671560442873568e-05,5000,3,0.11006312096192106,normal,64,1024,512.0,,512,64,128.0,,6,0.0024846529663299015,1,250,results_ddpg_model1/optuna_phase2/trial_21.yaml,COMPLETE
22,50.21679046904319,2026-05-26 02:24:14.195548,2026-05-26 02:52:35.100503,0 days 00:28:20.904955,512,1000000,1.3585196626048615,0.9433174644503702,4,0.0001277226208057537,5000,3,0.10595134110899793,normal,128,64,512.0,,512,64,128.0,,6,0.001661994133395716,1,250,results_ddpg_model1/optuna_phase2/trial_22.yaml,COMPLETE
23,32.13793023471953,2026-05-26 02:52:35.102549,2026-05-26 03:26:50.194368,0 days 00:34:15.091819,512,1000000,1.430003626373823,0.9265882374659845,4,7.059757409838246e-05,5000,4,0.15578504940473895,normal,64,1024,512.0,1024.0,512,64,128.0,512.0,5,0.003449384210798752,1,200,results_ddpg_model1/optuna_phase2/trial_23.yaml,COMPLETE
24,53.28315751748596,2026-05-26 03:26:50.197803,2026-05-26 04:00:12.587126,0 days 00:33:22.389323,512,1000000,1.3527940438988613,0.9569905690041935,4,0.00011463754140418985,5000,3,0.09423942997719661,normal,256,64,512.0,,512,64,512.0,,6,0.0021373477278167027,1,300,results_ddpg_model1/optuna_phase2/trial_24.yaml,COMPLETE
25,2.5637542562326416,2026-05-26 04:00:12.589776,2026-05-26 04:35:16.344735,0 days 00:35:03.754959,256,1000000,1.2849949412183468,0.9429267548993135,4,0.0002598726873787831,5000,3,0.2003615230849261,normal,256,128,512.0,,512,256,128.0,,5,0.0015679685956581436,1,250,results_ddpg_model1/optuna_phase2/trial_25.yaml,COMPLETE
26,49.841529279588485,2026-05-26 04:35:16.347215,2026-05-26 05:12:14.509476,0 days 00:36:58.162261,512,1000000,1.430616556857746,0.9495116958474366,4,0.00014911582080506173,5000,4,0.1414970531286731,ou,128,1024,512.0,64.0,64,64,128.0,1024.0,6,0.003110135407145072,1,300,results_ddpg_model1/optuna_phase2/trial_26.yaml,COMPLETE
27,21.968043997148925,2026-05-26 05:12:14.513883,2026-05-26 05:51:21.846338,0 days 00:39:07.332455,512,1000000,1.3817090722594183,0.9728100088389623,4,4.590958565132796e-05,5000,3,0.17492588613326993,normal,64,64,128.0,,512,64,128.0,,5,0.0012928155359327536,1,250,results_ddpg_model1/optuna_phase2/trial_27.yaml,COMPLETE
28,18.07470364496112,2026-05-26 05:51:21.849276,2026-05-26 06:28:48.207624,0 days 00:37:26.358348,512,500000,1.2742124769403562,0.9559611846878502,1,9.128307300667173e-05,10000,2,0.10003512448474214,normal,64,64,,,512,128,,,6,0.0019416790114198793,8,200,results_ddpg_model1/optuna_phase2/trial_28.yaml,COMPLETE
29,1.00750583660556,2026-05-26 06:28:48.211938,2026-05-26 07:14:14.657787,0 days 00:45:26.445849,512,100000,1.1850926303465197,0.9597546831767759,8,3.676058982941531e-05,1000,3,0.1340161236187191,normal,256,128,64.0,,1024,1024,64.0,,6,0.0026317463658231065,1,300,results_ddpg_model1/optuna_phase2/trial_29.yaml,COMPLETE
