Algorithm,reward_total_mean,reward_total_std,total_profit_cost_mean,total_profit_cost_std,user_satisfaction_mean,user_satisfaction_std,energy_charged_kwh_mean,energy_charged_kwh_std,energy_discharged_kwh_mean,energy_discharged_kwh_std,transformer_overload_kwh_mean,transformer_overload_kwh_std,battery_degradation_mean,battery_degradation_std,battery_deg_calendar_mean,battery_deg_calendar_std,battery_deg_cyclic_mean,battery_deg_cyclic_std,total_ev_served_mean,total_ev_served_std,exec_time_s_mean,exec_time_s_std,note
DDPG_Phase1,-9.723632,20.322771,20.871454,27.697361,0.500199,0.157666,130.841047,70.738494,234.704009,101.708368,0.0,0.0,0.000688,0.000295,7.4e-05,2.9e-05,0.000614,0.000272,4.98,1.76372,5.0311,0.27491,
DDPG_Phase2,81.607732,66.466985,104.537409,81.509051,0.433235,0.078597,451.555596,120.287649,644.59652,141.877818,0.0,0.0,0.001595,0.000395,0.000108,2.7e-05,0.001487,0.000369,7.79,1.545897,5.05488,0.288134,
Paper_DDPG_ref (EV2Gym Table VII — no HPO),-4400.0,8800.0,25.3,9.5,0.44,0.09,33.0,16.0,125.0,34.0,43.0,88.0,0.00059,0.00013,,,,,,,0.12,0.02,DDPG evaluated in EV2Gym Table VII without HPO. Our framework adds two-phase Optuna HPO.
