Algorithm,reward_total_mean,reward_total_std,total_profit_cost_mean,total_profit_cost_std,user_satisfaction_mean,user_satisfaction_std,energy_charged_kwh_mean,energy_charged_kwh_std,energy_discharged_kwh_mean,energy_discharged_kwh_std,transformer_overload_kwh_mean,transformer_overload_kwh_std,battery_degradation_mean,battery_degradation_std,battery_deg_calendar_mean,battery_deg_calendar_std,battery_deg_cyclic_mean,battery_deg_cyclic_std,total_ev_served_mean,total_ev_served_std,exec_time_s_mean,exec_time_s_std,note
CrossQ_Phase1,16.708329,16.870456,30.045639,33.954224,0.440297,0.100429,17.317554,12.831035,136.796875,60.129881,0.0,0.0,0.000263,0.000114,7.1e-05,3e-05,0.000193,0.000102,4.98,1.76372,2.38013,0.065201,
CrossQ_Phase2,39.011134,38.996267,55.900176,59.2652,0.482055,0.139652,0.92793,2.678716,152.202398,82.176402,0.0,0.0,0.000306,0.000138,0.000113,3.3e-05,0.000193,0.000135,7.09,1.723838,2.36862,0.046886,
Paper_CrossQ_ref (N/A — first evaluation),,,,,,,,,,,,,,,,,,,,,,,CrossQ had no results in EV2Gym Table VII. This is the first reported evaluation.
