number,value,datetime_start,datetime_complete,duration,params_bs,params_buf,params_discharge_price_factor,params_ent,params_gamma,params_gs,params_lr,params_lstarts,params_n_layers,params_n_steps,params_pd,params_pi_l0,params_pi_l1,params_pi_l2,params_pi_l3,params_qf_l0,params_qf_l1,params_qf_l2,params_qf_l3,params_qf_lr,params_spawn_multiplier,params_tf,params_transformer_max_power,params_use_sde,user_attrs_yaml_path,state
17,30.06064349602093,2026-05-26 02:21:32.261342,2026-05-26 02:59:11.571019,0 days 00:37:39.309677,256,1000000,1.337536593245892,0.01,0.9333614000703613,4,0.0005914976781456956,100,3,5,5,128,1024,128.0,,128,128,256.0,,0.002514003828442205,5,1,250,True,results_crossq_model1/optuna_phase2/trial_17.yaml,COMPLETE
18,31.977830176547286,2026-05-26 02:59:11.572387,2026-05-26 03:12:28.115617,0 days 00:13:16.543230,256,500000,1.4805982395597448,auto,0.9131133535933017,1,0.001612868206973519,100,3,5,3,128,1024,1024.0,,64,128,256.0,,0.0014842547169070424,6,1,300,False,results_crossq_model1/optuna_phase2/trial_18.yaml,COMPLETE
19,42.137128455680795,2026-05-26 03:12:28.118401,2026-05-26 05:28:25.197258,0 days 02:15:57.078857,128,1000000,1.4315688120552474,0.1,0.9221893850649482,8,0.0006544528966626797,100,3,1,3,256,1024,1024.0,,512,512,512.0,,0.00030740730045506945,5,1,250,True,results_crossq_model1/optuna_phase2/trial_19.yaml,COMPLETE
20,7.2932652240779134,2026-05-26 05:28:25.199347,2026-05-26 08:21:00.915158,0 days 02:52:35.715811,256,1000000,1.3171372792484557,0.01,0.9106090496101414,4,0.0019182984650313291,100,4,5,5,128,256,1024.0,128.0,512,1024,1024.0,128.0,0.0007184857341388238,4,1,200,True,results_crossq_model1/optuna_phase2/trial_20.yaml,COMPLETE
21,25.256416553689633,2026-05-26 08:21:00.916733,2026-05-26 10:49:53.496134,0 days 02:28:52.579401,128,1000000,1.434381354691193,0.1,0.900127537858172,8,0.0008878848399102912,100,3,1,3,256,1024,1024.0,,512,512,512.0,,0.00027092783007312554,5,1,250,True,results_crossq_model1/optuna_phase2/trial_21.yaml,COMPLETE
22,-4.663899732928257,2026-05-26 10:49:53.497756,2026-05-26 13:15:45.506020,0 days 02:25:52.008264,128,1000000,1.4384350015557708,0.1,0.9252416326292344,8,0.0029701990911701346,100,3,1,3,256,1024,1024.0,,512,512,512.0,,0.00028171742104548094,5,1,250,True,results_crossq_model1/optuna_phase2/trial_22.yaml,COMPLETE
23,1.0950016149145085,2026-05-26 13:15:45.507521,2026-05-26 15:55:07.228981,0 days 02:39:21.721460,128,1000000,1.458791280133059,0.1,0.9110199050823512,8,0.0004185931332167433,100,3,1,3,256,1024,1024.0,,512,512,512.0,,0.0004903073800351483,4,1,200,True,results_crossq_model1/optuna_phase2/trial_23.yaml,COMPLETE
24,36.01082318730187,2026-05-26 15:55:07.230648,2026-05-26 17:20:15.645539,0 days 01:25:08.414891,128,1000000,1.4871205299155021,0.1,0.918338174800912,8,0.0012098151505916038,100,3,1,3,128,1024,256.0,,512,256,256.0,,0.0009859655474733847,6,1,300,True,results_crossq_model1/optuna_phase2/trial_24.yaml,COMPLETE
25,55.642989371262956,2026-05-26 17:20:15.647479,2026-05-26 18:47:07.161397,0 days 01:26:51.513918,256,500000,1.3777285361446767,0.1,0.9079856786372741,8,0.0017865741643235198,1000,3,1,3,256,512,512.0,,128,512,256.0,,0.0002061209320277389,5,1,250,True,results_crossq_model1/optuna_phase2/trial_25.yaml,COMPLETE
26,4.444865528552327,2026-05-26 18:47:07.163027,2026-05-26 19:59:31.567602,0 days 01:12:24.404575,256,500000,1.3734688763365699,0.01,0.9074572399517485,4,0.0019944033393398918,1000,4,5,3,128,512,512.0,1024.0,128,128,256.0,1024.0,0.0001544079070916475,4,1,200,False,results_crossq_model1/optuna_phase2/trial_26.yaml,COMPLETE
27,37.706287105917,2026-05-26 19:59:31.568743,2026-05-26 20:28:21.029109,0 days 00:28:49.460366,256,500000,1.299589642447087,auto,0.9306045836666663,4,0.0014209926775513304,1000,3,5,3,64,512,512.0,,128,128,256.0,,8.511724120677715e-05,5,1,250,True,results_crossq_model1/optuna_phase2/trial_27.yaml,COMPLETE
28,19.915645731496625,2026-05-26 20:28:21.030477,2026-05-26 20:31:55.177041,0 days 00:03:34.146564,256,500000,1.382089864470218,0.01,0.9062079675197995,1,0.002132848830486306,1000,3,3,3,256,512,128.0,,128,512,256.0,,0.0018964125603845748,6,8,300,True,results_crossq_model1/optuna_phase2/trial_28.yaml,COMPLETE
29,11.107778483768925,2026-05-26 20:31:55.178268,2026-05-26 22:25:22.896049,0 days 01:53:27.717781,256,500000,1.388548372494341,0.1,0.9139765893224144,8,0.0011067353844829398,1000,4,1,5,64,128,512.0,128.0,64,1024,256.0,256.0,0.0010021222918949804,2,1,200,False,results_crossq_model1/optuna_phase2/trial_29.yaml,COMPLETE
