trial,value,best_so_far,phase
0,1.4551740256702033,1.4551740256702033,Phase1
1,1.63280076769297,1.63280076769297,Phase1
2,11.848277932964264,11.848277932964264,Phase1
3,0.4038978007083642,11.848277932964264,Phase1
4,10.627666130385478,11.848277932964264,Phase1
5,-5.153632081062824,11.848277932964264,Phase1
6,7.736723733423787,11.848277932964264,Phase1
7,5.907815002952702,11.848277932964264,Phase1
8,-5.4983356990269385,11.848277932964264,Phase1
9,4.928199523041258,11.848277932964264,Phase1
10,9.522808137400716,11.848277932964264,Phase1
11,10.67380287938886,11.848277932964264,Phase1
12,11.630737410894652,11.848277932964264,Phase1
13,12.60380060521129,12.60380060521129,Phase1
14,3.7409381637116894,12.60380060521129,Phase1
15,14.922102116433509,14.922102116433509,Phase1
16,9.418224701399597,14.922102116433509,Phase1
17,13.963904036153508,14.922102116433509,Phase1
18,1.945443169097416,14.922102116433509,Phase1
19,7.8860594084108016,14.922102116433509,Phase1
20,14.067165086558816,14.922102116433509,Phase1
21,15.767307552729108,15.767307552729108,Phase1
22,14.185794280861955,15.767307552729108,Phase1
23,15.732895537852528,15.767307552729108,Phase1
24,14.036578988756446,15.767307552729108,Phase1
25,-4.222475841437699,15.767307552729108,Phase1
26,12.869887736695546,15.767307552729108,Phase1
27,16.05685819155042,16.05685819155042,Phase1
28,9.980720102292253,16.05685819155042,Phase1
29,28.02458966471022,28.02458966471022,Phase1
0,10.913936974335227,10.913936974335227,Phase2
1,2.852037018761621,10.913936974335227,Phase2
2,1.7705126658693189,10.913936974335227,Phase2
3,16.14951491203101,16.14951491203101,Phase2
4,12.89054018787283,16.14951491203101,Phase2
5,7.580189925902232,16.14951491203101,Phase2
6,6.981629057043543,16.14951491203101,Phase2
7,30.302459746948443,30.302459746948443,Phase2
8,10.778283500509133,30.302459746948443,Phase2
9,6.403679689101409,30.302459746948443,Phase2
10,30.13121180335293,30.302459746948443,Phase2
11,31.29213726349917,31.29213726349917,Phase2
12,49.17984052246902,49.17984052246902,Phase2
13,48.80711513746064,49.17984052246902,Phase2
14,25.27533576412316,49.17984052246902,Phase2
15,8.442116759877536,49.17984052246902,Phase2
16,1.6802752702997168,49.17984052246902,Phase2
17,30.06064349602093,49.17984052246902,Phase2
18,31.97783017654729,49.17984052246902,Phase2
19,42.1371284556808,49.17984052246902,Phase2
20,7.2932652240779134,49.17984052246902,Phase2
21,25.256416553689636,49.17984052246902,Phase2
22,-4.663899732928257,49.17984052246902,Phase2
23,1.0950016149145083,49.17984052246902,Phase2
24,36.01082318730187,49.17984052246902,Phase2
25,55.64298937126296,55.64298937126296,Phase2
26,4.444865528552327,55.64298937126296,Phase2
27,37.706287105917,55.64298937126296,Phase2
28,19.915645731496625,55.64298937126296,Phase2
29,11.107778483768923,55.64298937126296,Phase2
