algorithm,episode,exec_time_s,reward_total,total_profit_cost,user_satisfaction,energy_charged_kwh,energy_discharged_kwh,transformer_overload_kwh,battery_degradation,battery_deg_calendar,battery_deg_cyclic,total_ev_served,seed,phase
CrossQ_Phase1,0,2.549,11.00920188985765,13.615830247371182,0.521,20.001667300179548,97.73993191205386,0.0,0.00018592821119187486,6.487030809087236e-05,0.0001210579031010025,4.0,42,Phase1_HP_only
CrossQ_Phase1,1,2.565,4.54415696579963,7.838687870834927,0.4822142857142857,16.62879626517807,83.3254448248977,0.0,0.00015165105189866263,4.365259667917008e-05,0.00010799845521949256,4.0,42,Phase1_HP_only
CrossQ_Phase1,2,2.362,15.001298490911722,30.5355060338418,0.34009523809523806,10.231903084225923,106.93504323927553,0.0,0.00018771730102823945,3.368000231677389e-05,0.00015403729871146555,3.0,42,Phase1_HP_only
CrossQ_Phase1,3,2.312,51.02999895811081,101.01647924408508,0.24117142857142854,0.0,207.74857734037093,0.0,0.0004062852413041349,6.125810311228283e-05,0.0003450271381918521,5.0,42,Phase1_HP_only
CrossQ_Phase1,4,2.379,68.36845719069242,140.06360801633153,0.24567346938775508,0.001829045652793626,253.63828159127547,0.0,0.00046578733304419227,6.647705629229069e-05,0.00039931027675190167,7.0,42,Phase1_HP_only
CrossQ_Phase1,5,2.361,38.10002167150378,75.42132798744791,0.2843428571428571,4.724591198041157,205.37189178037917,0.0,0.0003805681661767062,5.3865695322551476e-05,0.0003267024708541547,5.0,42,Phase1_HP_only
CrossQ_Phase1,6,2.428,42.80834497511387,79.18875516663931,0.2716071428571428,1.5745311789253362,148.7873412795634,0.0,0.0002628378798704464,3.8897228404931555e-05,0.0002239406514655148,4.0,42,Phase1_HP_only
CrossQ_Phase1,7,2.443,6.9760501915588975,10.436433524864231,0.5244285714285715,16.893342777322907,82.07421132150994,0.0,0.00016792526740009128,5.2959633479852856e-05,0.00011496563392023841,3.0,42,Phase1_HP_only
CrossQ_Phase1,8,2.432,7.455886269453913,12.546423906595383,0.4812380952380953,14.182586268632397,129.63665905110636,0.0,0.00022755010898896708,7.337697555317482e-05,0.00015417313343579227,6.0,42,Phase1_HP_only
CrossQ_Phase1,9,2.332,10.35862068622373,14.854333972681038,0.48657142857142865,11.605793497602466,115.76063191900718,0.0,0.00020092806347456714,6.287017319786267e-05,0.00013805789027670446,5.0,42,Phase1_HP_only
CrossQ_Phase1,10,2.328,3.2510464168153703,5.011599991494369,0.47385714285714287,5.6946505015314095,51.709891885742714,0.0,9.133024095362131e-05,2.441556415077825e-05,6.691467680284306e-05,2.0,42,Phase1_HP_only
CrossQ_Phase1,11,2.349,3.651583672268316,7.489149273609959,0.4895142857142858,8.84559733066072,90.76190104414623,0.0,0.00018173807119424153,7.707023128436475e-05,0.00010466783990987676,5.0,42,Phase1_HP_only
CrossQ_Phase1,12,2.254,41.53786249924451,58.62754102266244,0.39748979591836736,29.323038203069764,220.78465500486936,0.0,0.0003872532027150895,8.24102197468595e-05,0.00030484298296823,7.0,42,Phase1_HP_only
CrossQ_Phase1,13,2.353,4.824548300122842,7.155494883684092,0.54375,11.773123462020086,79.86965705363629,0.0,0.00016153881703919788,6.188033920053074e-05,9.965847783866713e-05,4.0,42,Phase1_HP_only
CrossQ_Phase1,14,2.402,16.474753625690937,21.08173434051411,0.4845714285714286,3.7117433114007277,139.04848457537105,0.0,0.0002269959751842973,4.718536450954505e-05,0.00017981061067475228,5.0,42,Phase1_HP_only
CrossQ_Phase1,15,2.334,9.93925241008401,14.227381372506335,0.5072142857142857,5.576372215984154,124.98328978227242,0.0,0.00022870904974036966,9.466959707683475e-05,0.0001340394526635349,6.0,42,Phase1_HP_only
CrossQ_Phase1,16,2.365,0.17096111027058214,3.197584795710307,0.5244285714285715,5.216050222383977,81.8051753336719,0.0,0.00015094837277467135,6.333416512999194e-05,8.761420764467942e-05,4.0,42,Phase1_HP_only
CrossQ_Phase1,17,2.413,36.94074135646224,45.59894533256439,0.44392857142857145,51.53286243680271,192.81431529619513,0.0,0.00037511024019411894,8.443399696762575e-05,0.0002906762432264933,6.0,42,Phase1_HP_only
CrossQ_Phase1,18,2.363,26.596225605346262,35.64484766237086,0.47540476190476194,40.56512874389569,176.21639921815276,0.0,0.00033266670092669084,7.04657332315184e-05,0.00026220096769517245,6.0,42,Phase1_HP_only
CrossQ_Phase1,19,2.358,1.7307595815509558,4.550544566174091,0.4870000000000001,1.9885051783407608,69.91804135929439,0.0,0.00014793675722801766,5.7056804555377863e-05,9.087995267263979e-05,3.0,42,Phase1_HP_only
CrossQ_Phase1,20,2.297,23.53742702305317,31.625118120180634,0.4420714285714286,11.9699952850116,174.58041223653618,0.0,0.0003165306776895863,9.539473428868052e-05,0.0002211359434009057,6.0,123,Phase1_HP_only
CrossQ_Phase1,21,2.408,11.257127522025257,15.801823154331235,0.4564285714285714,16.687935407951695,109.45868283512279,0.0,0.00019262462281084003,5.576687392384131e-05,0.0001368577488869987,4.0,123,Phase1_HP_only
CrossQ_Phase1,22,2.332,3.694036841392517,4.4537382440112,0.48799999999999993,6.2994549307215575,24.158533812719018,0.0,4.4142667220317745e-05,1.3835727764521617e-05,3.0306939455796126e-05,1.0,123,Phase1_HP_only
CrossQ_Phase1,23,2.55,14.830970065202564,19.018840958734422,0.46446428571428566,19.77769234615121,114.3782613848768,0.0,0.0002171269824901482,5.788284287056128e-05,0.00015924413961958692,4.0,123,Phase1_HP_only
CrossQ_Phase1,24,2.465,8.767121005803347,17.684132372971376,0.5005714285714286,19.407005760518537,169.07869833856148,0.0,0.0003318784830893113,0.00011525523226081786,0.00021662325082849354,7.0,123,Phase1_HP_only
CrossQ_Phase1,25,2.55,28.566658342722803,37.825578658606794,0.4522619047619048,6.381872836348905,200.4388499938356,0.0,0.00033556110012800404,8.825499497795507e-05,0.0002473061051500489,7.0,123,Phase1_HP_only
CrossQ_Phase1,26,2.519,1.521359151985962,3.3117068549110105,0.6021071428571428,22.772505187283006,64.53006084554788,0.0,0.0001515768864856693,6.525080637037709e-05,8.63260801152922e-05,4.0,123,Phase1_HP_only
CrossQ_Phase1,27,2.493,35.562797993421555,88.39008974208264,0.27195918367346933,11.587336764197028,260.6941394638329,0.0,0.0004610833141316429,6.536113505209276e-05,0.0003957221790795502,7.0,123,Phase1_HP_only
CrossQ_Phase1,28,2.277,18.581347947008908,29.356801608047785,0.5044897959183674,36.07659528631649,200.45989794984914,0.0,0.00041275662291810573,0.00013483050495268867,0.000277926117965417,8.0,123,Phase1_HP_only
CrossQ_Phase1,29,2.375,0.8467603463213891,2.530276295203724,0.4084285714285714,12.208325476133083,26.191545768611068,0.0,5.476018507549296e-05,1.21462378336823e-05,4.261394724181066e-05,1.0,123,Phase1_HP_only
CrossQ_Phase1,30,2.332,15.141608029138297,21.170658199772127,0.45616071428571425,23.476964891737442,129.00807702842994,0.0,0.00023400247041025974,6.869512648392719e-05,0.00016530734392633254,5.0,123,Phase1_HP_only
CrossQ_Phase1,31,2.342,18.16646396368742,22.27368978843644,0.49222857142857146,35.218883726408365,136.87430355045888,0.0,0.0002687053406020507,7.532679989796364e-05,0.00019337854070408704,5.0,123,Phase1_HP_only
CrossQ_Phase1,32,2.309,5.380530973896384,8.786369617182729,0.49535714285714283,25.16966350495835,76.78505469864011,0.0,0.0001634212984494411,6.051700368800114e-05,0.00010290429476143995,4.0,123,Phase1_HP_only
CrossQ_Phase1,33,2.404,23.98192849382758,32.93387615024197,0.4686607142857142,16.32805681935826,181.21042559978065,0.0,0.0003258656657959977,0.00011012986236121465,0.0002157358034347831,8.0,123,Phase1_HP_only
CrossQ_Phase1,34,2.388,53.843267649412155,104.9294997406871,0.23502857142857142,8.748657911062697,196.24461086036996,0.0,0.00037124885475552213,6.192966380066413e-05,0.00030931919095485806,5.0,123,Phase1_HP_only
CrossQ_Phase1,35,2.299,13.123712196829729,18.66103598968166,0.5088367346938776,25.97145060839165,132.91342205089748,0.0,0.00024832053157395587,9.168534499372756e-05,0.00015663518658022826,7.0,123,Phase1_HP_only
