trial,value,best_so_far,n_trials_budget
0,-1.6569690435708253,-1.6569690435708253,30
1,11.55383123649517,11.55383123649517,30
2,1.0990268181776628,11.55383123649517,30
3,12.261342403304297,12.261342403304297,30
4,9.556337615878356,12.261342403304297,30
5,10.367637425544672,12.261342403304297,30
6,6.129943649020788,12.261342403304297,30
7,23.24668725251945,23.24668725251945,30
8,-14.99743658863008,23.24668725251945,30
9,12.338120829567686,23.24668725251945,30
10,27.25478723199012,27.25478723199012,30
11,24.804388404150814,27.25478723199012,30
12,19.360684526969635,27.25478723199012,30
13,22.628485785804287,27.25478723199012,30
14,12.283478232318885,27.25478723199012,30
15,26.875976376060862,27.25478723199012,30
16,8.75757869861991,27.25478723199012,30
17,17.846208375878632,27.25478723199012,30
18,15.929072164115496,27.25478723199012,30
19,5.905708446050994,27.25478723199012,30
20,14.083995132416021,27.25478723199012,30
21,24.424363131956852,27.25478723199012,30
22,26.924030806757855,27.25478723199012,30
23,25.213456829147617,27.25478723199012,30
24,19.57961437974518,27.25478723199012,30
25,19.583977522320765,27.25478723199012,30
26,16.71129182301229,27.25478723199012,30
27,6.20534475002205,27.25478723199012,30
28,6.608261747285724,27.25478723199012,30
29,-8.935453291167505,27.25478723199012,30
0,-1.6569690435708253,-1.6569690435708253,60
1,11.55383123649517,11.55383123649517,60
2,1.0990268181776628,11.55383123649517,60
3,12.261342403304297,12.261342403304297,60
4,9.556337615878356,12.261342403304297,60
5,10.367637425544672,12.261342403304297,60
6,6.129943649020788,12.261342403304297,60
7,23.24668725251945,23.24668725251945,60
8,-14.99743658863008,23.24668725251945,60
9,12.338120829567686,23.24668725251945,60
10,27.25478723199012,27.25478723199012,60
11,24.804388404150814,27.25478723199012,60
12,19.360684526969635,27.25478723199012,60
13,22.628485785804287,27.25478723199012,60
14,12.283478232318885,27.25478723199012,60
15,26.875976376060862,27.25478723199012,60
16,8.75757869861991,27.25478723199012,60
17,17.846208375878632,27.25478723199012,60
18,15.929072164115496,27.25478723199012,60
19,5.905708446050994,27.25478723199012,60
20,14.083995132416021,27.25478723199012,60
21,24.424363131956852,27.25478723199012,60
22,26.924030806757855,27.25478723199012,60
23,25.213456829147617,27.25478723199012,60
24,19.57961437974518,27.25478723199012,60
25,19.583977522320765,27.25478723199012,60
26,16.71129182301229,27.25478723199012,60
27,6.20534475002205,27.25478723199012,60
28,6.608261747285724,27.25478723199012,60
29,-8.935453291167505,27.25478723199012,60
30,4.901925311838568,27.25478723199012,60
31,21.73594640930787,27.25478723199012,60
32,25.84441550608426,27.25478723199012,60
33,20.942438999138176,27.25478723199012,60
34,5.609798520919867,27.25478723199012,60
35,9.575495251841858,27.25478723199012,60
36,-3.857656120788306,27.25478723199012,60
37,21.886683903518133,27.25478723199012,60
38,-0.030584859778173268,27.25478723199012,60
39,13.851333405124024,27.25478723199012,60
40,-2.0933301427285187,27.25478723199012,60
41,22.287977067208658,27.25478723199012,60
42,21.31661003494014,27.25478723199012,60
43,24.279634753678693,27.25478723199012,60
44,26.734182750733453,27.25478723199012,60
45,15.522525665393914,27.25478723199012,60
46,23.667208580300212,27.25478723199012,60
47,9.440356831415556,27.25478723199012,60
48,-8.98236372628162,27.25478723199012,60
49,10.138960745855002,27.25478723199012,60
50,6.580997964578273,27.25478723199012,60
51,23.815660423620102,27.25478723199012,60
52,19.440635533290333,27.25478723199012,60
53,23.02584829722582,27.25478723199012,60
54,20.36775579406276,27.25478723199012,60
55,22.029069614596665,27.25478723199012,60
56,31.731953602284193,31.731953602284193,60
57,18.18257598017226,31.731953602284193,60
58,28.985392261878587,31.731953602284193,60
59,19.119169083307497,31.731953602284193,60
0,-1.6569690435708253,-1.6569690435708253,100
1,11.55383123649517,11.55383123649517,100
2,1.0990268181776628,11.55383123649517,100
3,12.261342403304297,12.261342403304297,100
4,9.556337615878356,12.261342403304297,100
5,10.367637425544672,12.261342403304297,100
6,6.129943649020788,12.261342403304297,100
7,23.24668725251945,23.24668725251945,100
8,-14.99743658863008,23.24668725251945,100
9,12.338120829567686,23.24668725251945,100
10,27.25478723199012,27.25478723199012,100
11,24.804388404150814,27.25478723199012,100
12,19.360684526969635,27.25478723199012,100
13,22.628485785804287,27.25478723199012,100
14,12.283478232318885,27.25478723199012,100
15,26.875976376060862,27.25478723199012,100
16,8.75757869861991,27.25478723199012,100
17,17.846208375878632,27.25478723199012,100
18,15.929072164115496,27.25478723199012,100
19,5.905708446050994,27.25478723199012,100
20,14.083995132416021,27.25478723199012,100
21,24.424363131956852,27.25478723199012,100
22,26.924030806757855,27.25478723199012,100
23,25.213456829147617,27.25478723199012,100
24,19.57961437974518,27.25478723199012,100
25,19.583977522320765,27.25478723199012,100
26,16.71129182301229,27.25478723199012,100
27,6.20534475002205,27.25478723199012,100
28,6.608261747285724,27.25478723199012,100
29,-8.935453291167505,27.25478723199012,100
30,4.901925311838568,27.25478723199012,100
31,21.73594640930787,27.25478723199012,100
32,25.84441550608426,27.25478723199012,100
33,20.942438999138176,27.25478723199012,100
34,5.609798520919867,27.25478723199012,100
35,9.575495251841858,27.25478723199012,100
36,-3.857656120788306,27.25478723199012,100
37,21.886683903518133,27.25478723199012,100
38,-0.030584859778173268,27.25478723199012,100
39,13.851333405124024,27.25478723199012,100
40,-2.0933301427285187,27.25478723199012,100
41,22.287977067208658,27.25478723199012,100
42,21.31661003494014,27.25478723199012,100
43,24.279634753678693,27.25478723199012,100
