trial,value,best_so_far,phase
0,-1.6323124405462295,-1.6323124405462295,Phase2
1,8.747943583817687,8.747943583817687,Phase2
2,14.798228187463792,14.798228187463792,Phase2
3,28.581611519504804,28.581611519504804,Phase2
4,-1.3982011213956866,28.581611519504804,Phase2
5,40.93681391316932,40.93681391316932,Phase2
6,15.383903802605346,40.93681391316932,Phase2
7,13.136223448469536,40.93681391316932,Phase2
8,31.400730467401445,40.93681391316932,Phase2
9,20.808886004695523,40.93681391316932,Phase2
10,16.70675689779455,40.93681391316932,Phase2
11,35.944216075658915,40.93681391316932,Phase2
12,36.2229784457013,40.93681391316932,Phase2
13,30.279110543313436,40.93681391316932,Phase2
14,32.70862005557865,40.93681391316932,Phase2
15,43.25708137613401,43.25708137613401,Phase2
16,14.176438633064663,43.25708137613401,Phase2
17,32.395924202744254,43.25708137613401,Phase2
18,36.61737038823776,43.25708137613401,Phase2
19,14.145796210388653,43.25708137613401,Phase2
20,27.153923917503562,43.25708137613401,Phase2
21,24.740987381344894,43.25708137613401,Phase2
22,34.80707389689633,43.25708137613401,Phase2
23,33.381976544281315,43.25708137613401,Phase2
24,18.899634048524604,43.25708137613401,Phase2
25,26.60337380094279,43.25708137613401,Phase2
26,33.65769452758832,43.25708137613401,Phase2
27,6.816258196928175,43.25708137613401,Phase2
28,46.039853271562606,46.039853271562606,Phase2
29,45.6926309861592,46.039853271562606,Phase2
