Algorithm,reward_total_mean,reward_total_std,total_profit_cost_mean,total_profit_cost_std,user_satisfaction_mean,user_satisfaction_std,energy_charged_kwh_mean,energy_charged_kwh_std,energy_discharged_kwh_mean,energy_discharged_kwh_std,transformer_overload_kwh_mean,transformer_overload_kwh_std,battery_degradation_mean,battery_degradation_std,battery_deg_calendar_mean,battery_deg_calendar_std,battery_deg_cyclic_mean,battery_deg_cyclic_std,total_ev_served_mean,total_ev_served_std,exec_time_s_mean,exec_time_s_std
TQC_Phase1,17.952477,19.714279,26.186658,28.631295,0.498087,0.099965,0.393248,1.273268,98.264151,48.955791,0.0,0.0,0.000197,8.6e-05,8.2e-05,3.2e-05,0.000115,7.2e-05,4.98,1.76372,4.01123,0.541084
TQC_Phase2,42.311531,46.7255,67.068531,58.474154,0.440088,0.110523,165.709019,76.700066,313.391772,103.11249,0.0,0.0,0.00079,0.000287,8.1e-05,2.5e-05,0.000709,0.000264,6.17,1.688075,4.21871,0.093881
Paper_TQC_ref,-3500.0,5600.0,1.9,21.6,0.72,0.24,66.0,39.0,62.0,58.0,35.0,56.0,0.00053,0.00013,,,,,,,0.16,0.02
