algorithm,episode,exec_time_s,reward_total,total_profit_cost,user_satisfaction,energy_charged_kwh,energy_discharged_kwh,transformer_overload_kwh,battery_degradation,battery_deg_calendar,battery_deg_cyclic,total_ev_served,seed,phase
TQC_Phase1,0,4.348,11.012778460979462,13.991778752919917,0.5154642857142857,0.4834777342215435,79.746113333634,0.0,0.00015872040845967578,7.283462845130621e-05,8.588578000836956e-05,4.0,42,Phase1_HP_only
TQC_Phase1,1,4.046,4.321803506463766,6.424506768146578,0.5485238095238095,0.0,54.94885460870943,0.0,0.00010407009966956684,5.1440619428441633e-05,5.2629480241125194e-05,4.0,42,Phase1_HP_only
TQC_Phase1,2,4.252,19.995634257793427,29.855141148671905,0.37714285714285706,0.0,88.88712925003367,0.0,0.00015596892116795182,4.0560251401249195e-05,0.00011540866976670263,3.0,42,Phase1_HP_only
TQC_Phase1,3,4.213,61.730499625205994,104.03956524938303,0.30479999999999996,0.0,185.8251090347897,0.0,0.00036548714359773327,7.799998255856867e-05,0.00028748716103916454,5.0,42,Phase1_HP_only
TQC_Phase1,4,4.14,71.21931397914886,109.58821740164242,0.3633877551020408,5.759886463147691,202.26184202301815,0.0,0.0003626908256907218,8.572473456612343e-05,0.00027696609112459834,7.0,42,Phase1_HP_only
TQC_Phase1,5,4.192,52.19709748029709,62.221264344125984,0.44239999999999996,0.0,145.4500335088939,0.0,0.0002627387335368701,7.343881185507e-05,0.00018929992168180014,5.0,42,Phase1_HP_only
TQC_Phase1,6,4.074,52.34752680361271,77.26435854648247,0.30075,0.0,139.1660531863373,0.0,0.00025754458299325763,4.657965193528491e-05,0.00021096493105797275,4.0,42,Phase1_HP_only
TQC_Phase1,7,4.107,4.71725432947278,5.697493090108196,0.6065714285714287,0.0,47.95414062742327,0.0,0.00010571363086670382,5.5498974288536895e-05,5.021465657816692e-05,3.0,42,Phase1_HP_only
TQC_Phase1,8,4.168,6.559267025440931,8.578823741490686,0.5826428571428571,0.0,72.89123820634774,0.0,0.00015360763631281634,8.612507864244358e-05,6.748255767037277e-05,6.0,42,Phase1_HP_only
TQC_Phase1,9,4.147,7.364746882813051,9.32154463285163,0.6059142857142857,0.0767644917914545,62.49932134031536,0.0,0.00013291412412888876,7.5282938519854e-05,5.7631185609034724e-05,5.0,42,Phase1_HP_only
TQC_Phase1,10,4.109,2.760205678641796,3.4881906657231494,0.5724285714285715,0.0,32.2699633034739,0.0,6.210908442368619e-05,3.0035303436673272e-05,3.207378098701292e-05,2.0,42,Phase1_HP_only
TQC_Phase1,11,4.211,2.0113951973617077,4.77703568121859,0.5799428571428571,0.30029604081305616,50.55110832625975,0.0,0.0001263916335310928,8.251296133700646e-05,4.3878672194086345e-05,5.0,42,Phase1_HP_only
TQC_Phase1,12,4.065,39.20537345483899,50.08228217221651,0.43620408163265306,0.0,172.47978101711664,0.0,0.00030227267949575607,9.888370445734124e-05,0.00020338897503841485,7.0,42,Phase1_HP_only
TQC_Phase1,13,4.168,4.389967285096645,6.022128806210098,0.5888928571428572,0.0,55.524228030577355,0.0,0.00012496230722585408,7.299291332212814e-05,5.1969393903725945e-05,4.0,42,Phase1_HP_only
TQC_Phase1,14,4.116,10.185665875673294,10.782913055428544,0.6816000000000001,0.0,66.36265373839451,0.0,0.0001205651124527667,5.842197554883186e-05,6.214313690393483e-05,5.0,42,Phase1_HP_only
TQC_Phase1,15,4.378,7.827152569778264,10.81804435059269,0.5737142857142857,0.0,91.46148329352653,0.0,0.0001991860804944097,0.00010581438424680691,9.337169624760277e-05,6.0,42,Phase1_HP_only
TQC_Phase1,16,4.454,1.0093397272285074,1.8971554641472774,0.6630357142857143,0.0,37.82017462406053,0.0,0.00010508638057179951,7.40262523440968e-05,3.1060128227702705e-05,4.0,42,Phase1_HP_only
TQC_Phase1,17,4.788,28.309323210269213,46.21128297566819,0.38897619047619053,0.545499009538975,165.04338022349395,0.0,0.00030249701890889245,0.00010302156555948232,0.0001994754533494101,6.0,42,Phase1_HP_only
TQC_Phase1,18,4.094,22.079003125429153,27.462946107109754,0.5219761904761905,0.0,116.17964965037426,0.0,0.0002178060994079295,9.009667757273369e-05,0.00012770942183519586,6.0,42,Phase1_HP_only
TQC_Phase1,19,4.188,3.966499370522797,4.974543204545901,0.5721904761904762,0.0,50.11612801465013,0.0,0.000118929123568321,6.695271287238653e-05,5.197641069593447e-05,3.0,42,Phase1_HP_only
TQC_Phase1,20,4.181,22.378369763493538,28.02887363775525,0.5088333333333334,0.0,134.56155846094126,0.0,0.0002659927184743322,0.00011471738129403787,0.00015127533718029435,6.0,123,Phase1_HP_only
TQC_Phase1,21,4.21,9.606296382844448,11.67590448886748,0.5275357142857142,0.0,72.94128754648324,0.0,0.00014603516121335688,6.740554651587712e-05,7.862961469747976e-05,4.0,123,Phase1_HP_only
TQC_Phase1,22,4.119,4.720305725932121,6.363428818136273,0.41085714285714287,0.0,23.277210936202138,0.0,4.143684035109786e-05,1.539338167389593e-05,2.604345867720193e-05,1.0,123,Phase1_HP_only
TQC_Phase1,23,3.992,18.657698555849493,22.809938953842675,0.46914285714285714,0.1650575137580873,93.59681095472328,0.0,0.0001760194489350064,6.837118840989221e-05,0.00010764826052511419,4.0,123,Phase1_HP_only
TQC_Phase1,24,4.139,9.171626183204353,10.579829269627986,0.6414489795918367,0.0,80.67266352083814,0.0,0.00020525301204052645,0.00013206474000715342,7.318827203337306e-05,7.0,123,Phase1_HP_only
TQC_Phase1,25,4.04,27.55844097584486,31.368713500559018,0.5379761904761905,0.0,146.92452143317405,0.0,0.00026730310208172045,0.00010437611550206767,0.00016292698657965275,7.0,123,Phase1_HP_only
TQC_Phase1,26,4.123,1.7004199414514005,2.8447196056308894,0.5971071428571428,0.0,43.11481838388875,0.0,0.000106921868115636,6.855506796772869e-05,3.83668001479073e-05,4.0,123,Phase1_HP_only
TQC_Phase1,27,4.051,40.87757210154086,63.70077461025991,0.4375918367346938,0.038077404953593685,168.0719680926734,0.0,0.0002949432385310145,8.226360170309389e-05,0.00021267963682792065,7.0,123,Phase1_HP_only
TQC_Phase1,28,4.314,18.301432441920042,24.736740852526175,0.542326530612245,0.23456124856420624,136.63647218997002,0.0,0.0003019856982192227,0.00016106087119871802,0.00014092482702050466,8.0,123,Phase1_HP_only
TQC_Phase1,29,4.232,0.5745424197521061,2.5728748061466935,0.3912857142857143,0.017071092759401996,15.162012502889981,0.0,2.9277176258721558e-05,1.510405821093122e-05,1.4173118047790338e-05,1.0,123,Phase1_HP_only
TQC_Phase1,30,4.128,13.806630017701536,19.278122212677744,0.4633571428571428,0.6883308473343325,103.89455968244974,0.0,0.00019337743558926895,7.830734580710952e-05,0.00011507008978215943,5.0,123,Phase1_HP_only
TQC_Phase1,31,4.084,13.66144061088562,17.973185645388206,0.5201428571428572,0.1273680881853856,92.0114717787587,0.0,0.00018812302944293607,8.972198413343389e-05,9.840104530950216e-05,5.0,123,Phase1_HP_only
TQC_Phase1,32,4.192,6.2442354541271925,16.554701146351768,0.3717857142857143,0.1813526477556937,86.38277777197952,0.0,0.00016205107434394433,6.485946821733758e-05,9.719160612660676e-05,4.0,123,Phase1_HP_only
TQC_Phase1,33,3.285,20.899430819321424,29.812305193793577,0.5042857142857142,0.40006216732902833,145.3252704251231,0.0,0.000273589638009726,0.00012294228734068807,0.00015064735066903798,8.0,123,Phase1_HP_only
TQC_Phase1,34,2.485,59.54828813672066,94.04929310445598,0.3014,0.0,164.59032375994374,0.0,0.0003120745319326749,8.065240341594401e-05,0.00023142212851673096,5.0,123,Phase1_HP_only
TQC_Phase1,35,2.43,9.786634070100263,15.361164593217028,0.5283265306122449,0.0,97.26011226913792,0.0,0.00019582686345652415,0.00010394279444620036,9.188406901032381e-05,7.0,123,Phase1_HP_only
