number,value,datetime_start,datetime_complete,duration,params_bs,params_buf,params_discharge_price_factor,params_ent,params_gamma,params_gs,params_lr,params_lstarts,params_n_steps,params_nc,params_nq,params_pi_l0,params_pi_l1,params_pi_l2,params_pi_l3,params_pi_layers,params_qf_l0,params_qf_l1,params_qf_l2,params_qf_l3,params_qf_layers,params_spawn_multiplier,params_tau,params_tf,params_tqdrop,params_transformer_max_power,params_tui,params_use_sde,user_attrs_yaml_path,state
16,14.176438633064663,2026-05-27 00:45:53.179352,2026-05-27 01:59:29.072768,0 days 01:13:35.893416,512,100000,1.2176106211146744,0.1,0.9799623074143429,4,1.0761563485586976e-05,5000,10,3,100,1024,512,,,2,512,1024,64.0,512.0,4,3,0.003753171088957829,1,1,150,4,False,results_tqc_model1/optuna_phase2/trial_16.yaml,COMPLETE
17,32.395924202744254,2026-05-27 01:59:29.074992,2026-05-27 02:44:36.936209,0 days 00:45:07.861217,512,100000,1.3390816540360064,0.1,0.9814182840569534,4,3.7098807469670266e-05,10000,10,3,50,1024,512,256.0,512.0,4,512,1024,,,2,5,0.00899111260538828,1,2,200,4,False,results_tqc_model1/optuna_phase2/trial_17.yaml,COMPLETE
18,36.61737038823776,2026-05-27 02:44:36.937686,2026-05-27 03:38:59.392494,0 days 00:54:22.454808,512,100000,1.39902527797638,0.1,0.9633013075668087,4,0.00015256541595788883,10000,5,3,50,512,512,,,2,256,128,64.0,,3,4,0.0014615563531535734,1,3,100,4,False,results_tqc_model1/optuna_phase2/trial_18.yaml,COMPLETE
19,14.145796210388653,2026-05-27 03:38:59.394058,2026-05-27 04:22:54.189022,0 days 00:43:54.794964,128,100000,1.2736376484384122,0.01,0.9785859345300859,4,3.537931709543096e-05,5000,1,3,50,1024,512,1024.0,,3,64,1024,1024.0,,3,6,0.0031983839130177954,1,1,150,4,False,results_tqc_model1/optuna_phase2/trial_19.yaml,COMPLETE
20,27.153923917503562,2026-05-27 04:22:54.191185,2026-05-27 05:17:11.860372,0 days 00:54:17.669187,512,100000,1.204349787509566,0.1,0.9875998147619224,4,1.042694044128319e-05,10000,10,3,100,1024,64,128.0,,3,128,1024,64.0,512.0,4,4,0.001490591483815296,1,2,200,4,False,results_tqc_model1/optuna_phase2/trial_20.yaml,COMPLETE
21,24.740987381344894,2026-05-27 05:17:11.861995,2026-05-27 05:48:13.684521,0 days 00:31:01.822526,512,100000,1.4097972679774442,0.1,0.9636744791008282,4,0.00016831866339947393,10000,5,3,50,512,512,,,2,256,128,64.0,,3,3,0.0013888763267097535,1,3,100,4,False,results_tqc_model1/optuna_phase2/trial_21.yaml,COMPLETE
22,34.80707389689633,2026-05-27 05:48:13.686498,2026-05-27 06:33:32.197430,0 days 00:45:18.510932,512,100000,1.3558360202348592,0.1,0.968920673447999,4,0.00014147529403156793,10000,5,3,50,512,512,,,2,256,128,64.0,,3,4,0.001575119192738164,1,4,100,4,False,results_tqc_model1/optuna_phase2/trial_22.yaml,COMPLETE
23,33.381976544281315,2026-05-27 06:33:32.199560,2026-05-27 07:22:32.289639,0 days 00:49:00.090079,512,100000,1.4211488199377549,0.1,0.9581642392484954,4,3.661730007187329e-05,10000,5,3,50,512,512,,,2,256,128,64.0,,3,5,0.001015510790528994,1,3,100,4,False,results_tqc_model1/optuna_phase2/trial_23.yaml,COMPLETE
24,18.899634048524604,2026-05-27 07:22:32.291478,2026-05-27 08:00:28.726822,0 days 00:37:56.435344,512,100000,1.3085187700182281,0.1,0.9736805686935496,4,0.0001385847218164703,10000,5,3,50,512,512,,,2,1024,128,1024.0,,3,3,0.002861745745730591,1,2,150,4,False,results_tqc_model1/optuna_phase2/trial_24.yaml,COMPLETE
25,26.60337380094279,2026-05-27 08:00:28.728101,2026-05-27 08:30:21.296147,0 days 00:29:52.568046,512,500000,1.4335613458341177,0.1,0.9988319125252864,1,0.00022820796286031502,10000,10,3,50,1024,1024,,,2,256,512,,,2,5,0.0016455549620436078,8,1,200,1,False,results_tqc_model1/optuna_phase2/trial_25.yaml,COMPLETE
26,33.65769452758832,2026-05-27 08:30:21.297363,2026-05-27 09:00:57.014436,0 days 00:30:35.717073,512,100000,1.3571573139128728,0.1,0.9826583561271314,4,3.0606056871328554e-05,10000,5,3,50,512,512,,,2,512,128,64.0,,3,4,0.004218341338811122,1,3,150,4,False,results_tqc_model1/optuna_phase2/trial_26.yaml,COMPLETE
27,6.816258196928175,2026-05-27 09:00:57.016048,2026-05-27 09:48:12.506865,0 days 00:47:15.490817,128,100000,1.303714444544182,0.01,0.9566532109165535,4,5.1101163354177005e-05,10000,1,3,50,512,512,,,2,512,1024,64.0,1024.0,4,6,0.002671092294336868,1,4,100,4,False,results_tqc_model1/optuna_phase2/trial_27.yaml,COMPLETE
28,46.039853271562606,2026-05-27 09:48:12.510331,2026-05-27 10:49:40.348670,0 days 01:01:27.838339,256,100000,1.4357477701773753,auto,0.9740322436527958,1,0.00010811578025207922,1000,10,3,100,128,128,256.0,,3,256,512,1024.0,,3,4,0.0012881087670782996,1,2,200,4,False,results_tqc_model1/optuna_phase2/trial_28.yaml,COMPLETE
29,45.6926309861592,2026-05-27 10:49:40.351242,2026-05-27 12:25:13.577083,0 days 01:35:33.225841,256,500000,1.4405611391147681,auto,0.9723718224806794,1,1.605873046279884e-05,1000,10,5,100,128,128,256.0,256.0,4,512,512,1024.0,512.0,4,5,0.002135797335911738,1,2,200,4,True,results_tqc_model1/optuna_phase2/trial_29.yaml,COMPLETE
