algorithm,episode,exec_time_s,reward_total,total_profit_cost,user_satisfaction,energy_charged_kwh,energy_discharged_kwh,transformer_overload_kwh,battery_degradation,battery_deg_calendar,battery_deg_cyclic,total_ev_served,seed,agent
AFAP,0,7.545,-12.643413657857492,-12.6161737,1.0,96.41,0.0,0.0,0.0002690201475432244,0.00015925729666658612,0.00010976285087663828,6.0,42,AFAP
AFAP,1,6.191,-9.008629978928747,-8.99501,1.0,44.629999999999995,0.0,0.0,0.00011144784124016231,6.234730037168441e-05,4.910054086847791e-05,3.0,42,AFAP
AFAP,2,7.425,-26.30199395785749,-26.274754,1.0,77.42000000000002,0.0,0.0,0.0002214630381338129,0.00013355411260266453,8.790892553114838e-05,6.0,42,AFAP
AFAP,3,5.714,-15.984774171904991,-15.966614199999999,1.0,66.69999999999999,0.0,0.0,0.0001712882531183354,9.501831705299981e-05,7.62699360653356e-05,4.0,42,AFAP
AFAP,4,8.166,-30.24921115083374,-30.217431200000007,1.0,108.69000000000003,0.0,0.0,0.00030630878698509155,0.0001851608921756039,0.00012114789480948768,7.0,42,AFAP
AFAP,5,7.34,-7.098621957857491,-7.071382,1.0,67.21,0.0,0.0,0.0002075770255219431,0.00014033284704966,6.724417847228309e-05,6.0,42,AFAP
AFAP,6,7.001,-26.36410294380998,-26.327782999999997,1.0,104.89999999999996,0.0,0.0,0.0002933119742835617,0.0001765418527205263,0.00011677012156303536,8.0,42,AFAP
AFAP,7,6.987,-7.581271564881241,-7.5585716000000005,1.0,84.38,0.0,0.0,0.00021260530262914927,0.00011439088094406603,9.82144216850832e-05,5.0,42,AFAP
AFAP,8,7.304,-16.696940357857486,-16.6697004,1.0,87.03999999999999,0.0,0.0,0.00021643005132703899,0.0001151625684385392,0.00010126748288849975,6.0,42,AFAP
AFAP,9,6.466,-8.45050197190499,-8.432341999999998,1.0,86.32,0.0,0.0,0.0001779517620031044,6.0099670594513636e-05,0.00011785209140859076,4.0,42,AFAP
AFAP,10,8.038,-17.933016657857483,-17.905776699999997,1.0,74.28999999999999,0.0,0.0,0.0002318558031577315,0.00015189543986749622,7.996036329023528e-05,6.0,42,AFAP
AFAP,11,8.661,-24.96296109897955,-24.935721141122063,1.0,67.25219953175058,0.0,0.0,0.0001889354956284621,0.00011977418319823917,6.916131243022294e-05,6.0,42,AFAP
AFAP,12,6.067,2.8921203351187548,2.914820299999998,1.0,75.72999999999996,0.0,0.0,0.00018577640656319592,9.797183810922609e-05,8.780456845396984e-05,5.0,42,AFAP
AFAP,13,6.339,-10.776531864881239,-10.753831899999998,1.0,57.42999999999999,0.0,0.0,0.0001554454839554067,9.622436871536212e-05,5.922111524004459e-05,5.0,42,AFAP
AFAP,14,6.829,-4.093265178928747,-4.079645200000002,1.0,39.66000000000001,0.0,0.0,0.00011483688955370131,7.360168602497542e-05,4.12352035287259e-05,3.0,42,AFAP
AFAP,15,6.595,-19.212267557857487,-19.1850276,1.0,115.80000000000001,0.0,0.0,0.00029685099609925265,0.0001480742780831719,0.00014877671801608074,6.0,42,AFAP
AFAP,16,6.494,-10.476512257857488,-10.4492723,1.0,93.17999999999999,0.0,0.0,0.00025261579086717885,0.00014666171566804089,0.00010595407519913794,6.0,42,AFAP
AFAP,17,7.878,-5.03158926488124,-5.008889299999998,1.0,70.42999999999998,0.0,0.0,0.00017963071618310963,0.00010136665713669145,7.826405904641815e-05,5.0,42,AFAP
AFAP,18,6.305,-27.63833354380999,-27.602013600000006,1.0,142.14000000000004,0.0,0.0,0.00032425719285750806,0.00014849722987988307,0.000175759962977625,8.0,42,AFAP
AFAP,19,6.483,-11.246632471904997,-11.228472500000002,1.0,60.46000000000001,0.0,0.0,0.0001503256797816995,7.772884341601204e-05,7.259683636568745e-05,4.0,42,AFAP
AFAP,20,5.971,-8.512885143809985,-8.4765652,1.0,114.18999999999998,0.0,0.0,0.00031755448690815036,0.0001889301635162892,0.00012862432339186118,8.0,123,AFAP
AFAP,21,6.758,-9.557401171904996,-9.539241200000001,1.0,48.25,0.0,0.0,0.00014652248006603424,9.713640504919403e-05,4.9386075016840204e-05,4.0,123,AFAP
AFAP,22,6.133,-10.242832871904993,-10.224672900000002,1.0,79.71,0.0,0.0,0.000186932327208549,8.823013863187925e-05,9.870218857666977e-05,4.0,123,AFAP
AFAP,23,6.565,-27.7581527578575,-27.730912800000006,1.0,92.15000000000003,0.0,0.0,0.0002570406387192637,0.00015055300761159706,0.0001064876311076667,6.0,123,AFAP
AFAP,24,6.174,-5.2083037789287445,-5.194683799999999,1.0,50.789999999999985,0.0,0.0,0.00010631505775114892,4.877274925857334e-05,5.754230849257559e-05,3.0,123,AFAP
AFAP,25,6.563,-10.972533764881238,-10.949833799999997,1.0,63.75999999999999,0.0,0.0,0.00015921918978769602,9.213578637451177e-05,6.708340341318425e-05,5.0,123,AFAP
AFAP,26,6.465,-19.20297395083374,-19.171194,1.0,73.94000000000001,0.0,0.0,0.00025425778867146345,0.00018048951830691978,7.376827036454372e-05,7.0,123,AFAP
AFAP,27,6.624,-4.75972535785749,-4.7324854,1.0,73.39999999999999,0.0,0.0,0.00022309020078426005,0.00014569329611623333,7.739690466802672e-05,6.0,123,AFAP
AFAP,28,6.459,-26.71456126488124,-26.691861299999996,1.0,75.98999999999998,0.0,0.0,0.00019412008496456207,0.00010424760721080095,8.98724777537611e-05,5.0,123,AFAP
AFAP,29,6.247,-20.89779055083374,-20.866010600000006,1.0,86.49000000000002,0.0,0.0,0.00023092181280525293,0.0001399304519377057,9.099136086754725e-05,7.0,123,AFAP
AFAP,30,6.001,-14.401033957857493,-14.373794000000004,1.0,65.95000000000002,0.0,0.0,0.00022233194995080474,0.00015289251095617235,6.943943899463236e-05,6.0,123,AFAP
AFAP,31,6.642,3.839681614047506,3.848761600000003,1.0,29.560000000000016,0.0,0.0,6.989021667447431e-05,3.819789608266368e-05,3.169232059181063e-05,2.0,123,AFAP
AFAP,32,6.17,-17.61087705083374,-17.579097100000002,1.0,115.30999999999999,0.0,0.0,0.00029953984840190323,0.0001675425238545951,0.00013199732454730818,7.0,123,AFAP
AFAP,33,6.648,-50.01492295083374,-49.983143000000005,1.0,121.67,0.0,0.0,0.0002811046135122831,0.00013811788310124487,0.00014298673041103824,7.0,123,AFAP
AFAP,34,9.015,-6.016397171904995,-5.998237200000001,1.0,79.06000000000002,0.0,0.0,0.00017905108578826877,8.282399309412317e-05,9.622709269414561e-05,4.0,123,AFAP
AFAP,35,6.814,-11.309670957857493,-11.282431000000003,1.0,79.90000000000003,0.0,0.0,0.00020349710785354575,0.00011217204393782085,9.132506391572488e-05,6.0,123,AFAP
AFAP,36,6.189,-4.314391971904993,-4.296231999999999,1.0,37.58,0.0,0.0,0.00011928795721516652,8.31932149543822e-05,3.6094742260784314e-05,4.0,123,AFAP
AFAP,37,6.244,-14.029391485364767,-14.011231513459775,1.0,53.28190706681056,0.0,0.0,0.00015777248775723654,0.00010015517687651264,5.761731088072391e-05,4.0,123,AFAP
AFAP,38,6.26,-12.904685571904993,-12.886525600000002,1.0,44.27,0.0,0.0,0.00015268440857704526,0.00010832417200364709,4.4360236573398175e-05,4.0,123,AFAP
AFAP,39,6.579,-15.694808171904995,-15.6766482,1.0,76.88000000000001,0.0,0.0,0.00019999081687151364,0.00010644838557061804,9.354243130089559e-05,4.0,123,AFAP
AFAP,40,6.516,-4.572212371904993,-4.554052399999998,1.0,48.82999999999999,0.0,0.0,0.00010808201579166974,5.847401519509704e-05,4.9608000596572694e-05,4.0,999,AFAP
AFAP,41,6.167,-17.25761775083374,-17.225837800000004,1.0,92.93000000000002,0.0,0.0,0.00028615037152573974,0.00018385624336510184,0.00010229412816063786,7.0,999,AFAP
AFAP,42,6.066,-10.065852978928739,-10.052232999999994,1.0,39.77999999999997,0.0,0.0,8.616569761111974e-05,4.437271549087846e-05,4.179298212024128e-05,3.0,999,AFAP
AFAP,43,6.244,-3.2308028648812455,-3.208102900000002,1.0,46.53000000000002,0.0,0.0,0.0001627941319540391,0.00011942546584234638,4.3368666111692716e-05,5.0,999,AFAP
AFAP,44,6.533,-15.94967685785749,-15.922436900000001,1.0,106.4,0.0,0.0,0.0002795865043999122,0.00015334828468341907,0.00012623821971649305,6.0,999,AFAP
AFAP,45,6.303,-22.659836771905,-22.641676800000006,1.0,58.72000000000001,0.0,0.0,0.00015965720692059186,9.61076136715567e-05,6.354959324903514e-05,4.0,999,AFAP
AFAP,46,6.503,-27.926381343809993,-27.8900614,1.0,133.0,0.0,0.0,0.0003371148067300172,0.00018214358574595863,0.00015497122098405858,8.0,999,AFAP
AFAP,47,6.449,-3.0418648789287452,-3.0282449,1.0,45.75,0.0,0.0,0.00011495000551268233,6.471872860100398e-05,5.023127691167836e-05,3.0,999,AFAP
AFAP,48,6.34,-1.8783109508337406,-1.846531000000001,1.0,107.08000000000001,0.0,0.0,0.0002898390887170015,0.00016524744366402084,0.00012459164505298066,7.0,999,AFAP
AFAP,49,6.223,-21.148464464881243,-21.125764500000002,1.0,67.99000000000001,0.0,0.0,0.00019759746774528663,0.00012109168965994301,7.650577808534365e-05,5.0,999,AFAP
AFAP,50,5.931,-15.314115950833743,-15.282336000000003,1.0,96.82000000000004,0.0,0.0,0.0002577585271026781,0.00015066473606919757,0.00010709379103348053,7.0,999,AFAP
AFAP,51,6.636,-12.998250378928745,-12.9846304,1.0,51.44,0.0,0.0,0.00013411265216914798,7.31651231140896e-05,6.094752905505837e-05,3.0,999,AFAP
AFAP,52,6.442,-16.24597367892874,-16.232353699999994,1.0,42.08999999999999,0.0,0.0,0.00011342229769379499,6.879917273231604e-05,4.462312496147894e-05,3.0,999,AFAP
AFAP,53,6.354,-18.379204171904995,-18.361044200000002,1.0,76.12000000000002,0.0,0.0,0.00019712244832294576,0.00010573390528203828,9.13885430409075e-05,4.0,999,AFAP
AFAP,54,6.196,-4.188675785952495,-4.179595799999999,1.0,37.15999999999999,0.0,0.0,8.633702660572104e-05,3.777047639769302e-05,4.8566550208028026e-05,2.0,999,AFAP
AFAP,55,6.222,-16.53649125785749,-16.509251300000003,1.0,137.12,0.0,0.0,0.0003147760997066337,0.00013563335245553488,0.00017914274725109875,6.0,999,AFAP
AFAP,56,6.246,-10.112716750833737,-10.080936800000002,1.0,107.03000000000002,0.0,0.0,0.00028883695551956115,0.00016938901432441501,0.00011944794119514611,7.0,999,AFAP
AFAP,57,6.584,-10.356844450833737,-10.325064499999998,1.0,120.81999999999998,0.0,0.0,0.0003245427592260377,0.0001807025437906505,0.0001438402154353872,7.0,999,AFAP
AFAP,58,6.287,-6.413938064881238,-6.391238099999996,1.0,63.31999999999996,0.0,0.0,0.00018485032520109237,0.00011817686277985303,6.667346242123931e-05,5.0,999,AFAP
AFAP,59,6.234,-34.08543125785748,-34.058191300000004,1.0,122.67000000000002,0.0,0.0,0.00030395370391439567,0.000150407703905343,0.00015354600000905264,6.0,999,AFAP
AFAP,60,6.506,-7.008642164881241,-6.985942199999998,1.0,60.04999999999999,0.0,0.0,0.00020581783519741994,0.00014433239809995716,6.148543709746276e-05,5.0,7,AFAP
AFAP,61,5.879,-7.986980950833738,-7.955200999999999,1.0,116.25999999999999,0.0,0.0,0.00028994401855263706,0.00015727613908130268,0.00013266787947133443,7.0,7,AFAP
AFAP,62,6.382,-35.48493355083374,-35.4531536,1.0,111.55,0.0,0.0,0.0002932337731203321,0.00016028960957137844,0.00013294416354895364,7.0,7,AFAP
AFAP,63,5.969,-5.950789992976247,-5.946249999999999,1.0,29.45,0.0,0.0,6.316748912159936e-05,2.126936880206225e-05,4.189812031953711e-05,1.0,7,AFAP
AFAP,64,6.307,-8.67229197190499,-8.654131999999997,1.0,59.249999999999986,0.0,0.0,0.00014616814963358437,8.103079920512455e-05,6.513735042845982e-05,4.0,7,AFAP
AFAP,65,6.098,-14.336285364881238,-14.3135854,1.0,104.73,0.0,0.0,0.0002750910363618265,0.00014450726922120603,0.0001305837671406205,5.0,7,AFAP
AFAP,66,6.096,-8.590560971904992,-8.572401000000001,1.0,70.76,0.0,0.0,0.00017270456952650124,8.690419520140763e-05,8.580037432509361e-05,4.0,7,AFAP
AFAP,67,6.06,-23.09544397892875,-23.081823999999997,1.0,72.92,0.0,0.0,0.00017165284637012568,7.150845640416855e-05,0.00010014438996595713,3.0,7,AFAP
AFAP,68,6.665,-13.105374657857494,-13.078134700000003,1.0,70.15000000000002,0.0,0.0,0.00019284811954501733,0.00012128638830336813,7.156173124164916e-05,6.0,7,AFAP
AFAP,69,6.765,-29.525671957857483,-29.498432,1.0,104.12,0.0,0.0,0.00025350931296321634,0.00013214351083357296,0.00012136580212964337,6.0,7,AFAP
AFAP,70,6.204,-6.979745371904993,-6.961585400000001,1.0,46.300000000000004,0.0,0.0,0.00014926351333397874,0.00010193363020447055,4.7329883129508176e-05,4.0,7,AFAP
AFAP,71,6.282,-19.971468771904995,-19.953308800000002,1.0,69.33000000000001,0.0,0.0,0.0001865329112268094,0.0001060254141455657,8.05074970812437e-05,4.0,7,AFAP
AFAP,72,6.233,-21.63168996488125,-21.608990000000006,1.0,72.05000000000001,0.0,0.0,0.00019890205557886845,0.00012029955549385622,7.860250008501222e-05,5.0,7,AFAP
AFAP,73,5.843,-43.59585265083374,-43.564072700000004,1.0,109.25000000000003,0.0,0.0,0.00026357006171186573,0.00014172938368737083,0.00012184067802449488,7.0,7,AFAP
AFAP,74,5.963,-14.091375164881244,-14.068675200000003,1.0,69.32000000000001,0.0,0.0,0.00021155094841547345,0.0001312756760404186,8.027527237505484e-05,5.0,7,AFAP
AFAP,75,6.034,-13.057282471904994,-13.039122500000001,1.0,51.48,0.0,0.0,0.00011117279741001063,5.8445961219356315e-05,5.272683619065432e-05,4.0,7,AFAP
AFAP,76,6.261,-23.098509971904985,-23.080349999999992,1.0,74.71999999999997,0.0,0.0,0.00018692620581778983,9.875731148290783e-05,8.816889433488199e-05,4.0,7,AFAP
AFAP,77,6.362,-10.906656371904996,-10.888496400000003,1.0,56.030000000000015,0.0,0.0,0.00016494600471984945,0.00010322337511540223,6.17226296044472e-05,4.0,7,AFAP
