Algorithm,reward_total_mean,reward_total_std,total_profit_cost_mean,total_profit_cost_std,user_satisfaction_mean,user_satisfaction_std,energy_charged_kwh_mean,energy_charged_kwh_std,energy_discharged_kwh_mean,energy_discharged_kwh_std,transformer_overload_kwh_mean,transformer_overload_kwh_std,battery_degradation_mean,battery_degradation_std,battery_deg_calendar_mean,battery_deg_calendar_std,battery_deg_cyclic_mean,battery_deg_cyclic_std,total_ev_served_mean,total_ev_served_std,exec_time_s_mean,exec_time_s_std,note
Oracle_MIQP,-6.997503,7.707389,-6.974303,7.706013,1.0,0.0,331.828369,121.265321,255.192479,101.427231,0.0,0.0,0.001069,0.000433,9.5e-05,3.4e-05,0.000974,0.000405,5.11,1.63852,89.67514,11.781965,
Paper_Oracle_ref,-400.0,1200.0,3.7,6.1,1.0,0.0,,,,,4.0,12.0,0.00145,0.00035,,,,,,,,,
Paper_MPC_ref,-18300.0,16700.0,17.8,9.3,0.76,0.09,,,,,183.0,167.0,0.00168,0.00042,,,,,,,,,Paper MPC (horizon=25) — our reproduced variant cannot match this config.
