exec_time_s,reward_total,total_profit_cost,user_satisfaction,energy_charged_kwh,energy_discharged_kwh,transformer_overload_kwh,battery_degradation,battery_deg_calendar,battery_deg_cyclic,total_ev_served,horizon
52.083,-5.191960529210367,-5.164720571352877,1.0,430.49978278479654,334.5868778603682,0.0,0.0015992504646982872,0.00012188068217051388,0.0014773697825277731,6.0,5
82.829,-6.671567921141539,-6.657947942212796,1.0,189.90425671634932,145.51765277242143,0.0,0.000605845811858239,5.248255042744697e-05,0.000553363261430792,3.0,5
80.226,-7.095134551558094,-7.067894593700606,1.0,353.0814576124095,276.1145053656182,0.0,0.001279257269731926,0.00010462028975589484,0.0011746369799760313,6.0,5
78.687,-14.389149281155083,-14.370989309250087,1.0,269.8742775342495,203.499841032223,0.0,0.0007799343657975221,8.597010739012653e-05,0.0006939642584073956,4.0,5
75.242,-16.329701360460263,-16.297921409626536,1.0,485.17970354657774,377.11462801533634,0.0,0.0018221644017954834,0.00014068992956016332,0.00168147447223532,7.0,5
71.58,-5.263079282871066,-5.2358393250135755,1.0,367.74389013830375,301.0414046293876,0.0,0.001178293665110132,0.00012249029270321925,0.0010558033724069127,6.0,5
68.033,-7.882471350015028,-7.846151406205047,1.0,540.7096248430735,436.5668701493506,0.0,0.0017237315297818439,0.00013768720809980345,0.0015860443216820406,8.0,5
69.566,-7.005885507792338,-6.983185542911095,1.0,266.1798310715411,182.08232611990437,0.0,0.0008425322716951137,0.00010209669781098523,0.0007404355738841286,5.0,5
70.946,-14.448799070573033,-14.421559112715542,1.0,296.60193228600144,209.90421667266384,0.0,0.0009904548426527687,9.57348319178456e-05,0.0008947200107349234,6.0,5
68.088,-5.0952424361652575,-5.077082464260263,1.0,185.5907872739075,99.42880615709169,0.0,0.00045142751657620977,5.3264209650858716e-05,0.00039816330692535106,4.0,5
66.68,-14.237492914343484,-14.210252956485991,1.0,317.468921653227,243.61607763242267,0.0,0.00073604267701754,0.0001433167731073617,0.0005927259039101784,6.0,5
71.305,-17.66543407510633,-17.63819411724884,1.0,323.6678470801944,256.8402439789917,0.0,0.0010175898835053593,0.00010415276345412329,0.0009134371200512361,6.0,5
67.523,-19.68545788522838,-19.66275792034715,1.0,312.1537488596005,236.8524330852727,0.0,0.0010172797256692684,7.636416750974704e-05,0.0009409155581595216,5.0,5
68.542,-4.94020338220405,-4.917503417322813,1.0,261.11988852789125,204.053432183135,0.0,0.000749410634388486,8.353390648700026e-05,0.0006658767279014856,5.0,5
72.21,-2.4275444987790338,-2.4139245198502866,1.0,188.42111809801133,149.01567487057463,0.0,0.0006748587182422255,5.9054603062923235e-05,0.0006158041151793024,3.0,5
81.698,-3.111127919977741,-3.083887962120254,1.0,495.51544501443465,380.31152268828873,0.0,0.0017747367788670616,0.00010185011897443638,0.0016728866598926249,6.0,5
80.635,-6.599872080660414,-6.572632122802921,1.0,389.9797465108419,297.27806006032785,0.0,0.0014463502567012244,0.00010825785831348786,0.0013380923983877368,6.0,5
75.46,1.2097554707597162,1.2324554356409596,1.0,268.69715655862115,198.60054826152722,0.0,0.0008963468000215938,8.190548540007344e-05,0.0008144413146215204,5.0,5
76.57,-23.56488802814818,-23.52856808433819,1.0,430.20367278362056,288.5335036455774,0.0,0.0011577348573245173,0.00013139310363447965,0.0010263417536900375,8.0,5
79.781,-6.661684943535862,-6.643524971630869,1.0,214.1898539215021,153.99987970006066,0.0,0.000670741898874265,6.640575998695534e-05,0.0006043361388873098,4.0,5
75.526,-4.170262431658213,-4.133942487848224,1.0,478.2819571533216,364.70067346732856,0.0,0.0014953711389121523,0.00016833749600031847,0.0013270336429118338,8.0,5
80.501,-6.224679061866974,-6.2065190899619855,1.0,268.96738863903187,221.11410492487545,0.0,0.0009229048261154334,7.430844865319452e-05,0.0008485963774622391,4.0,5
83.027,-5.452301281585976,-5.434141309680985,1.0,269.17983673579647,189.75046145517328,0.0,0.000957165096461772,6.563282336598273e-05,0.0008915322730957893,4.0,5
