number,value,datetime_start,datetime_complete,duration,params_bs,params_buf,params_discharge_price_factor,params_gamma,params_gs,params_lr,params_lstarts,params_n_layers,params_noise_sigma,params_noise_type,params_pd,params_pi_l0,params_pi_l1,params_pi_l2,params_pi_l3,params_qf_l0,params_qf_l1,params_qf_l2,params_qf_l3,params_spawn_multiplier,params_tau,params_tf,params_tnc,params_tpn,params_transformer_max_power,user_attrs_yaml_path,state
15,27.06851687002927,2026-05-25 22:12:52.912535,2026-05-25 22:56:19.262548,0 days 00:43:26.350013,128,500000,1.2679164993752936,0.9640889036095125,8,2.1942875985549402e-05,1000,4,0.495535669876215,normal,2,512,1024,512.0,256.0,1024,64,1024.0,512.0,5,0.024218219233656177,1,0.859844883658925,0.22592025229984394,300,results_td3_model1/optuna_phase2/trial_15.yaml,COMPLETE
16,22.47934050830372,2026-05-25 22:56:19.264290,2026-05-25 23:36:02.076029,0 days 00:39:42.811739,128,500000,1.211489283343336,0.9479072027779188,8,9.663541588169173e-05,1000,3,0.33010447095095324,normal,2,512,128,128.0,,1024,512,1024.0,,6,0.01320226916390952,4,0.8567578138826749,0.14470657122107536,250,results_td3_model1/optuna_phase2/trial_16.yaml,COMPLETE
17,24.34189879987389,2026-05-25 23:36:02.080116,2026-05-26 00:18:31.199747,0 days 00:42:29.119631,128,100000,1.4060633324965237,0.945779155753284,1,1.0100940529191047e-05,1000,4,0.2381178274351083,normal,2,128,1024,256.0,64.0,256,64,128.0,128.0,5,0.02822282380451667,4,0.5491462222706069,0.21954611947942798,300,results_td3_model1/optuna_phase2/trial_17.yaml,COMPLETE
18,21.671795353875495,2026-05-26 00:18:31.204565,2026-05-26 00:59:46.885045,0 days 00:41:15.680480,128,500000,1.3470470971625557,0.9670789382075289,8,3.0093722142148788e-05,1000,4,0.25397309139284957,ou,2,128,1024,64.0,256.0,64,512,256.0,64.0,6,0.048982036666121304,1,0.4345498343431448,0.14003777213008045,250,results_td3_model1/optuna_phase2/trial_18.yaml,COMPLETE
19,10.648639223561986,2026-05-26 00:59:46.888139,2026-05-26 01:36:38.187839,0 days 00:36:51.299700,1024,500000,1.1741347356307223,0.9578164135720013,8,9.137001062620594e-05,1000,3,0.20712793848777777,normal,2,512,128,512.0,,1024,64,1024.0,,5,0.016824479468493872,8,0.5523669013669575,0.2098068556674284,300,results_td3_model1/optuna_phase2/trial_19.yaml,COMPLETE
20,37.75527270983366,2026-05-26 01:36:38.191211,2026-05-26 02:11:51.264354,0 days 00:35:13.073143,128,100000,1.4469193840635313,0.9723671062949596,8,1.836417897803351e-05,1000,4,0.27605373573123915,normal,1,1024,256,512.0,512.0,1024,1024,1024.0,64.0,4,0.00913598072226967,4,0.38831209921787124,0.26559880981620776,200,results_td3_model1/optuna_phase2/trial_20.yaml,COMPLETE
21,45.15872975867569,2026-05-26 02:11:51.267045,2026-05-26 02:47:31.084387,0 days 00:35:39.817342,128,100000,1.4967199641380289,0.9701836700382866,8,1.8876988444711724e-05,1000,4,0.2820581075450497,normal,1,1024,256,512.0,512.0,1024,1024,1024.0,64.0,4,0.008508843854281878,4,0.38403727361316686,0.2720146574849972,200,results_td3_model1/optuna_phase2/trial_21.yaml,COMPLETE
22,45.90728529291954,2026-05-26 02:47:31.087110,2026-05-26 03:26:44.103215,0 days 00:39:13.016105,128,100000,1.4901953001456687,0.9753515641501826,8,1.700061811129262e-05,1000,4,0.27444610600813524,normal,1,1024,256,512.0,512.0,1024,1024,1024.0,64.0,4,0.006405605648354765,4,0.3809472270735747,0.30295015572242806,200,results_td3_model1/optuna_phase2/trial_22.yaml,COMPLETE
23,39.69202076936911,2026-05-26 03:26:44.106028,2026-05-26 04:07:58.157132,0 days 00:41:14.051104,128,100000,1.4984269827943495,0.9772425781218964,8,1.5062783973172937e-05,1000,4,0.18903991137497117,normal,1,1024,256,512.0,512.0,1024,1024,1024.0,64.0,4,0.0068250949366324785,4,0.30718567833756427,0.30718856321522864,200,results_td3_model1/optuna_phase2/trial_23.yaml,COMPLETE
24,38.907210597418725,2026-05-26 04:07:58.159688,2026-05-26 04:50:29.531669,0 days 00:42:31.371981,128,100000,1.4253998397046035,0.9874163780876114,8,3.5076696828605805e-05,1000,4,0.25038739098282314,normal,1,1024,256,512.0,512.0,1024,1024,1024.0,512.0,4,0.008813918163654856,4,0.38477168752616636,0.33705702957542866,200,results_td3_model1/optuna_phase2/trial_24.yaml,COMPLETE
25,8.091765689023305,2026-05-26 04:50:29.535127,2026-05-26 05:30:21.439739,0 days 00:39:51.904612,128,100000,1.4975615948705008,0.9650179188933478,1,1.793334055902945e-05,1000,3,0.30818046073872846,normal,1,1024,256,512.0,,1024,1024,64.0,,3,0.016305636271452536,4,0.38849168936318706,0.378793856616199,150,results_td3_model1/optuna_phase2/trial_25.yaml,COMPLETE
26,18.898091318143997,2026-05-26 05:30:21.445539,2026-05-26 06:20:55.114428,0 days 00:50:33.668889,128,100000,1.3851304137327314,0.9738281775757297,8,3.082791522714432e-05,5000,4,0.2528505138655638,ou,1,1024,256,128.0,512.0,64,1024,128.0,1024.0,3,0.008467247517712488,4,0.4978028271369133,0.23989558024527408,200,results_td3_model1/optuna_phase2/trial_26.yaml,COMPLETE
27,18.774156633066013,2026-05-26 06:20:55.121976,2026-05-26 07:09:48.589801,0 days 00:48:53.467825,512,100000,1.4430534206709684,0.9630288520165967,8,1.4834972497722282e-05,1000,3,0.1880163561542133,normal,1,1024,256,64.0,,256,1024,256.0,,4,0.005483920053010894,4,0.4224612497177021,0.19981370951076333,200,results_td3_model1/optuna_phase2/trial_27.yaml,COMPLETE
28,12.658679009473417,2026-05-26 07:09:48.591434,2026-05-26 08:07:16.916609,0 days 00:57:28.325175,1024,100000,1.3843655614247767,0.9848812205350628,8,1.0108092971863671e-05,1000,4,0.30687571854635015,normal,1,64,64,256.0,512.0,1024,128,1024.0,128.0,4,0.01022879366188388,8,0.34867359000904663,0.2865265437058301,200,results_td3_model1/optuna_phase2/trial_28.yaml,COMPLETE
29,8.776156680018175,2026-05-26 08:07:16.922314,2026-05-26 08:52:16.330608,0 days 00:44:59.408294,128,100000,1.3023420981726184,0.9705206989492854,1,2.3319966675446214e-05,1000,3,0.131732901621273,normal,1,64,128,512.0,,1024,1024,1024.0,,4,0.007540640204554568,1,0.48778601418011536,0.41613989941706675,150,results_td3_model1/optuna_phase2/trial_29.yaml,COMPLETE
