Algorithm,reward_total_mean,reward_total_std,total_profit_cost_mean,total_profit_cost_std,user_satisfaction_mean,user_satisfaction_std,energy_charged_kwh_mean,energy_charged_kwh_std,energy_discharged_kwh_mean,energy_discharged_kwh_std,transformer_overload_kwh_mean,transformer_overload_kwh_std,battery_degradation_mean,battery_degradation_std,battery_deg_calendar_mean,battery_deg_calendar_std,battery_deg_cyclic_mean,battery_deg_cyclic_std,total_ev_served_mean,total_ev_served_std,exec_time_s_mean,exec_time_s_std,note
TD3_Phase1,9.642,20.74239,27.541299,28.040244,0.405188,0.079197,98.284076,65.374153,229.660866,93.426997,0.0,0.0,0.000551,0.000247,5.4e-05,2.1e-05,0.000497,0.000228,4.98,1.76372,4.98288,0.217992,
TD3_Phase2,58.271817,56.593085,92.127228,69.52451,0.409727,0.105286,215.109186,101.093428,420.739523,117.692282,0.0,0.0,0.001091,0.000374,9.7e-05,2.5e-05,0.000993,0.00035,7.79,1.545897,4.97809,0.214356,
Paper_TD3_ref (EV2Gym Table VII — no HPO),-7500.0,14000.0,31.1,10.6,0.38,0.08,25.0,13.0,142.0,41.0,74.0,140.0,0.00061,0.00013,,,,,,,0.12,0.03,TD3 evaluated in EV2Gym Table VII without HPO. Our framework adds two-phase Optuna HPO.
