number,value,datetime_start,datetime_complete,duration,params_bs,params_buf,params_gamma,params_gs,params_lr,params_lstarts,params_n_layers,params_noise_sigma,params_noise_type,params_pd,params_pi_l0,params_pi_l1,params_pi_l2,params_pi_l3,params_qf_l0,params_qf_l1,params_qf_l2,params_qf_l3,params_tau,params_tf,params_tnc,params_tpn,state
19,8.33056914138433,2026-05-25 07:34:19.926946,2026-05-25 08:03:18.467268,0 days 00:28:58.540322,128,100000,0.9281569755288416,4,0.00010083400995260373,10000,3,0.19293815988402518,normal,1,512,128,64.0,,1024,1024,512.0,,0.014299704811543768,4,0.6759203088846366,0.33785767184457743,COMPLETE
20,-1.8400968295827624,2026-05-25 08:03:18.469636,2026-05-25 08:28:41.301991,0 days 00:25:22.832355,1024,100000,0.9217772990872295,4,0.00011542206290398101,10000,2,0.18015274022341685,normal,1,512,128,,,1024,1024,,,0.015139469402059277,4,0.6813772408595675,0.4608964640315701,COMPLETE
21,12.013206806368544,2026-05-25 08:28:41.304191,2026-05-25 09:00:29.986136,0 days 00:31:48.681945,128,100000,0.9283240847073506,4,5.028942443970353e-05,10000,3,0.23898533850857423,normal,1,512,128,64.0,,1024,1024,512.0,,0.02715435879998411,4,0.8337350524734669,0.3338530040594196,COMPLETE
22,10.777244767989032,2026-05-25 09:00:29.988883,2026-05-25 09:37:28.643727,0 days 00:36:58.654844,128,100000,0.929823744691615,4,3.2776009817279225e-05,10000,3,0.11580387267907515,normal,1,512,128,64.0,,1024,1024,512.0,,0.02896873210543988,4,0.6398035064065695,0.36302297735444833,COMPLETE
23,8.478850104787853,2026-05-25 09:37:28.645851,2026-05-25 10:11:47.055101,0 days 00:34:18.409250,128,100000,0.9305897492736638,4,4.5531413502669403e-05,10000,3,0.10006175999719971,normal,1,512,128,64.0,,1024,1024,512.0,,0.018566195017470713,4,0.6094798963709763,0.35951887370833135,COMPLETE
24,0.7713771123671904,2026-05-25 10:11:47.065319,2026-05-25 10:48:39.031684,0 days 00:36:51.966365,512,100000,0.9330906717150775,4,4.1417886616412876e-05,10000,3,0.09030664777460193,normal,1,512,128,64.0,,64,1024,512.0,,0.01921280505888096,4,0.6123819338514436,0.3793128329416426,COMPLETE
25,10.238484500841878,2026-05-25 10:48:39.034050,2026-05-25 11:28:40.589946,0 days 00:40:01.555896,128,100000,0.9150782738453199,1,5.9736567139556704e-05,1000,3,0.09206596154949746,normal,1,512,64,64.0,,1024,1024,512.0,,0.030969312388574425,8,0.622666774761427,0.4030383684772592,COMPLETE
26,6.459666593931615,2026-05-25 11:28:40.592039,2026-05-25 12:06:51.491791,0 days 00:38:10.899752,128,100000,0.9135190139426685,1,6.1030082252563305e-05,1000,2,0.11270161827329066,normal,1,512,64,,,256,1024,,,0.032659560708565016,8,0.9949593411176784,0.3997230831109206,COMPLETE
27,4.235673005634453,2026-05-25 12:06:51.495213,2026-05-25 12:49:51.252347,0 days 00:42:59.757134,128,100000,0.9161071820851533,1,2.8194234475534873e-05,1000,3,0.1528324812423515,normal,1,512,64,128.0,,1024,1024,512.0,,0.02862085666991704,8,0.7813993206644398,0.41500029911445313,COMPLETE
28,8.529709234426264,2026-05-25 12:49:51.253779,2026-05-25 13:33:21.647711,0 days 00:43:30.393932,128,100000,0.9209131322396182,1,0.00012913954550898104,1000,3,0.09346554715574992,normal,1,512,64,64.0,,1024,128,512.0,,0.03285508816642571,8,0.48592680256539844,0.37042562842921095,COMPLETE
29,6.685717222513631,2026-05-25 13:33:21.650091,2026-05-25 14:09:42.881697,0 days 00:36:21.231606,128,100000,0.910916169950635,1,3.009908182729942e-05,1000,4,0.13027138348369796,normal,1,512,1024,256.0,256.0,1024,1024,512.0,128.0,0.020971844976136383,8,0.7057763349978077,0.3413167888341971,COMPLETE
