trial,value,best_so_far,phase
0,6.375611619150732,6.375611619150732,Phase1
1,-0.569369086122606,6.375611619150732,Phase1
2,-14.100647644713035,6.375611619150732,Phase1
3,0.2283921589842066,6.375611619150732,Phase1
4,-4.237871940626064,6.375611619150732,Phase1
5,-19.46002610695416,6.375611619150732,Phase1
6,-17.96312461385969,6.375611619150732,Phase1
7,-17.251995007918595,6.375611619150732,Phase1
8,-2.922966562327929,6.375611619150732,Phase1
9,4.357794437426492,6.375611619150732,Phase1
10,-3.6235815597437977,6.375611619150732,Phase1
11,0.9885470437584444,6.375611619150732,Phase1
12,2.531581165550506,6.375611619150732,Phase1
13,0.8770888897997793,6.375611619150732,Phase1
14,-1.2480069564044245,6.375611619150732,Phase1
15,5.444294437300414,6.375611619150732,Phase1
16,2.190707087283954,6.375611619150732,Phase1
17,0.4653008264722302,6.375611619150732,Phase1
18,1.3330150360707194,6.375611619150732,Phase1
19,8.33056914138433,8.33056914138433,Phase1
20,-1.8400968295827624,8.33056914138433,Phase1
21,12.013206806368544,12.013206806368544,Phase1
22,10.777244767989032,12.013206806368544,Phase1
23,8.478850104787853,12.013206806368544,Phase1
24,0.7713771123671904,12.013206806368544,Phase1
25,10.238484500841878,12.013206806368544,Phase1
26,6.459666593931615,12.013206806368544,Phase1
27,4.235673005634453,12.013206806368544,Phase1
28,8.529709234426264,12.013206806368544,Phase1
29,6.685717222513631,12.013206806368544,Phase1
0,4.390025866247015,4.390025866247015,Phase2
1,2.508709585526958,4.390025866247015,Phase2
2,-8.394365145621123,4.390025866247015,Phase2
3,25.26281257113442,25.26281257113442,Phase2
4,18.890203519666105,25.26281257113442,Phase2
5,-18.127389253873844,25.26281257113442,Phase2
6,47.09789011073372,47.09789011073372,Phase2
7,-19.33648714714218,47.09789011073372,Phase2
8,-0.5585441160583287,47.09789011073372,Phase2
9,-9.674565147637622,47.09789011073372,Phase2
10,23.55794299644185,47.09789011073372,Phase2
11,18.191913533286424,47.09789011073372,Phase2
12,-1.3745851058047265,47.09789011073372,Phase2
13,29.8432954485761,47.09789011073372,Phase2
14,27.611892533954236,47.09789011073372,Phase2
15,27.06851687002927,47.09789011073372,Phase2
16,22.47934050830372,47.09789011073372,Phase2
17,24.34189879987389,47.09789011073372,Phase2
18,21.671795353875492,47.09789011073372,Phase2
19,10.648639223561986,47.09789011073372,Phase2
20,37.75527270983366,47.09789011073372,Phase2
21,45.15872975867569,47.09789011073372,Phase2
22,45.90728529291954,47.09789011073372,Phase2
23,39.69202076936911,47.09789011073372,Phase2
24,38.907210597418725,47.09789011073372,Phase2
25,8.091765689023305,47.09789011073372,Phase2
26,18.898091318144,47.09789011073372,Phase2
27,18.774156633066013,47.09789011073372,Phase2
28,12.658679009473415,47.09789011073372,Phase2
29,8.776156680018175,47.09789011073372,Phase2
