trial,value,best_so_far,phase
0,-1.3443002682857923,-1.3443002682857923,Phase1
1,0.2642335076875568,0.2642335076875568,Phase1
2,1.5650658386145437,1.5650658386145437,Phase1
3,-0.4382051684222148,1.5650658386145437,Phase1
4,2.2166501695760985,2.2166501695760985,Phase1
5,-2.48228813658217,2.2166501695760985,Phase1
6,-4.829370317951316,2.2166501695760985,Phase1
7,-8.402861483564266,2.2166501695760985,Phase1
8,-5.886908333035535,2.2166501695760985,Phase1
9,0.12647700331085332,2.2166501695760985,Phase1
10,2.204654547586813,2.2166501695760985,Phase1
11,2.202276407138413,2.2166501695760985,Phase1
12,2.1768579023463985,2.2166501695760985,Phase1
13,2.1769618183556076,2.2166501695760985,Phase1
14,-4.070853458396186,2.2166501695760985,Phase1
15,2.180764479580205,2.2166501695760985,Phase1
16,-3.585833499331329,2.2166501695760985,Phase1
17,2.2080050916777623,2.2166501695760985,Phase1
18,4.979030520108836,4.979030520108836,Phase1
19,5.263085498350392,5.263085498350392,Phase1
20,5.0235430319756915,5.263085498350392,Phase1
21,5.281322737038039,5.281322737038039,Phase1
22,5.020190288380604,5.281322737038039,Phase1
23,3.7990910878107798,5.281322737038039,Phase1
24,-0.8503549176177785,5.281322737038039,Phase1
25,6.113882619772085,6.113882619772085,Phase1
26,0.2632369261633869,6.113882619772085,Phase1
27,-14.776720637217295,6.113882619772085,Phase1
28,6.512407026784359,6.512407026784359,Phase1
29,-0.1189984497252965,6.512407026784359,Phase1
