Algorithm,reward_total_mean,reward_total_std,total_profit_cost_mean,total_profit_cost_std,user_satisfaction_mean,user_satisfaction_std,energy_charged_kwh_mean,energy_charged_kwh_std,energy_discharged_kwh_mean,energy_discharged_kwh_std,transformer_overload_kwh_mean,transformer_overload_kwh_std,battery_degradation_mean,battery_degradation_std,battery_deg_calendar_mean,battery_deg_calendar_std,battery_deg_cyclic_mean,battery_deg_cyclic_std,total_ev_served_mean,total_ev_served_std,exec_time_s_mean,exec_time_s_std
ARS_Phase1,4.739608,8.275163,9.622826,12.206966,0.671293,0.087946,15.834144,11.830657,56.672952,31.301594,0.0,0.0,0.000169,7.3e-05,9e-05,3.3e-05,7.9e-05,4.6e-05,4.98,1.76372,4.81614,0.497917
ARS_Phase2,20.643487,21.208702,23.914,21.999914,0.627785,0.0422,0.025127,0.068695,87.942492,24.528574,0.0,0.0,0.000224,5.5e-05,0.000141,3.1e-05,8.3e-05,2.8e-05,7.79,1.545897,4.20902,0.500459
Paper_ARS_ref,-3600.0,6700.0,17.7,9.9,0.53,0.11,45.0,19.0,107.0,35.0,36.0,67.0,0.00057,0.00014,,,,,,,0.09,0.01
