trial,value,best_so_far,n_trials_budget
0,-4.731451531425819,-4.731451531425819,30
1,0.20145552303894476,0.20145552303894476,30
2,0.7694550353038494,0.7694550353038494,30
3,-0.535792857252801,0.7694550353038494,30
4,-2.815331892807876,0.7694550353038494,30
5,0.025131869481782587,0.7694550353038494,30
6,-9.543341378870082,0.7694550353038494,30
7,-16.880474903144204,0.7694550353038494,30
8,-4.413071420378401,0.7694550353038494,30
9,-0.0628673797426984,0.7694550353038494,30
10,-18.796775679542407,0.7694550353038494,30
11,-0.27460840772429407,0.7694550353038494,30
12,-0.4695230575510436,0.7694550353038494,30
13,1.6155557686386146,1.6155557686386146,30
14,5.2798866553278,5.2798866553278,30
15,4.243327235375347,5.2798866553278,30
16,-9.263331293728697,5.2798866553278,30
17,1.7353361151763238,5.2798866553278,30
18,-0.13888626929175096,5.2798866553278,30
19,-0.26160750793690113,5.2798866553278,30
20,0.17397470130686088,5.2798866553278,30
21,1.7633646949698232,5.2798866553278,30
22,3.107721651180327,5.2798866553278,30
23,1.4541784574812482,5.2798866553278,30
24,1.3425614933753423,5.2798866553278,30
25,2.4792832295552216,5.2798866553278,30
26,-13.389138992395829,5.2798866553278,30
27,-8.115754470094544,5.2798866553278,30
28,5.436628256262338,5.436628256262338,30
29,0.9260916837756668,5.436628256262338,30
0,-4.731451531425819,-4.731451531425819,60
1,0.20145552303894476,0.20145552303894476,60
2,0.7694550353038494,0.7694550353038494,60
3,-0.535792857252801,0.7694550353038494,60
4,-2.815331892807876,0.7694550353038494,60
5,0.025131869481782587,0.7694550353038494,60
6,-9.543341378870082,0.7694550353038494,60
7,-16.880474903144204,0.7694550353038494,60
8,-4.413071420378401,0.7694550353038494,60
9,-0.0628673797426984,0.7694550353038494,60
10,-18.796775679542407,0.7694550353038494,60
11,-0.27460840772429407,0.7694550353038494,60
12,-0.4695230575510436,0.7694550353038494,60
13,1.6155557686386146,1.6155557686386146,60
14,5.2798866553278,5.2798866553278,60
15,4.243327235375347,5.2798866553278,60
16,-9.263331293728697,5.2798866553278,60
17,1.7353361151763238,5.2798866553278,60
18,-0.13888626929175096,5.2798866553278,60
19,-0.26160750793690113,5.2798866553278,60
20,0.17397470130686088,5.2798866553278,60
21,1.7633646949698232,5.2798866553278,60
22,3.107721651180327,5.2798866553278,60
23,1.4541784574812482,5.2798866553278,60
24,1.3425614933753423,5.2798866553278,60
25,2.4792832295552216,5.2798866553278,60
26,-13.389138992395829,5.2798866553278,60
27,-8.115754470094544,5.2798866553278,60
28,5.436628256262338,5.436628256262338,60
29,0.9260916837756668,5.436628256262338,60
30,3.845438252353233,5.436628256262338,60
31,4.3305920981929376,5.436628256262338,60
32,5.43773068144219,5.43773068144219,60
33,5.181488818218895,5.43773068144219,60
34,5.108861111883016,5.43773068144219,60
35,4.3324896005842675,5.43773068144219,60
36,-3.7686762500752593,5.43773068144219,60
37,-0.9487904337810278,5.43773068144219,60
38,-16.000208658733754,5.43773068144219,60
39,-0.8308363710830236,5.43773068144219,60
40,2.986911100901125,5.43773068144219,60
41,5.111967171633296,5.43773068144219,60
42,4.916252673937379,5.43773068144219,60
43,5.468453187644627,5.468453187644627,60
44,0.6287758659395877,5.468453187644627,60
45,4.60532204813353,5.468453187644627,60
46,4.559584819372958,5.468453187644627,60
47,-9.160472790414133,5.468453187644627,60
48,1.863147756921535,5.468453187644627,60
49,5.494036151930231,5.494036151930231,60
50,1.000191821071894,5.494036151930231,60
51,5.894744038839235,5.894744038839235,60
52,5.612235007759409,5.894744038839235,60
53,6.273012608389763,6.273012608389763,60
54,6.5379668201749155,6.5379668201749155,60
55,8.868228694564095,8.868228694564095,60
56,7.195257441804642,8.868228694564095,60
57,4.540967361996763,8.868228694564095,60
58,9.603247255799033,9.603247255799033,60
59,-16.07544526921447,9.603247255799033,60
0,-4.731451531425819,-4.731451531425819,100
1,0.20145552303894476,0.20145552303894476,100
2,0.7694550353038494,0.7694550353038494,100
3,-0.535792857252801,0.7694550353038494,100
4,-2.815331892807876,0.7694550353038494,100
5,0.025131869481782587,0.7694550353038494,100
6,-9.543341378870082,0.7694550353038494,100
7,-16.880474903144204,0.7694550353038494,100
8,-4.413071420378401,0.7694550353038494,100
9,-0.0628673797426984,0.7694550353038494,100
10,-18.796775679542407,0.7694550353038494,100
11,-0.27460840772429407,0.7694550353038494,100
12,-0.4695230575510436,0.7694550353038494,100
13,1.6155557686386146,1.6155557686386146,100
14,5.2798866553278,5.2798866553278,100
15,4.243327235375347,5.2798866553278,100
16,-9.263331293728697,5.2798866553278,100
17,1.7353361151763238,5.2798866553278,100
18,-0.13888626929175096,5.2798866553278,100
19,-0.26160750793690113,5.2798866553278,100
20,0.17397470130686088,5.2798866553278,100
21,1.7633646949698232,5.2798866553278,100
22,3.107721651180327,5.2798866553278,100
23,1.4541784574812482,5.2798866553278,100
24,1.3425614933753423,5.2798866553278,100
25,2.4792832295552216,5.2798866553278,100
26,-13.389138992395829,5.2798866553278,100
27,-8.115754470094544,5.2798866553278,100
28,5.436628256262338,5.436628256262338,100
29,0.9260916837756668,5.436628256262338,100
30,3.845438252353233,5.436628256262338,100
31,4.3305920981929376,5.436628256262338,100
32,5.43773068144219,5.43773068144219,100
33,5.181488818218895,5.43773068144219,100
34,5.108861111883016,5.43773068144219,100
35,4.3324896005842675,5.43773068144219,100
36,-3.7686762500752593,5.43773068144219,100
37,-0.9487904337810278,5.43773068144219,100
38,-16.000208658733754,5.43773068144219,100
39,-0.8308363710830236,5.43773068144219,100
40,2.986911100901125,5.43773068144219,100
41,5.111967171633296,5.43773068144219,100
42,4.916252673937379,5.43773068144219,100
43,5.468453187644627,5.468453187644627,100
44,0.6287758659395877,5.468453187644627,100
45,4.60532204813353,5.468453187644627,100
46,4.559584819372958,5.468453187644627,100
47,-9.160472790414133,5.468453187644627,100
48,1.863147756921535,5.468453187644627,100
49,5.494036151930231,5.494036151930231,100
50,1.000191821071894,5.494036151930231,100
51,5.894744038839235,5.894744038839235,100
52,5.612235007759409,5.894744038839235,100
53,6.273012608389763,6.273012608389763,100
54,6.5379668201749155,6.5379668201749155,100
55,8.868228694564095,8.868228694564095,100
56,7.195257441804642,8.868228694564095,100
57,4.540967361996763,8.868228694564095,100
58,9.603247255799033,9.603247255799033,100
59,-16.07544526921447,9.603247255799033,100
60,-10.447737715345284,9.603247255799033,100
61,6.7701601079934335,9.603247255799033,100
62,-10.969557839303889,9.603247255799033,100
63,6.74955489750937,9.603247255799033,100
64,7.167217607364364,9.603247255799033,100
65,-17.459766401649475,9.603247255799033,100
66,-12.82752059658469,9.603247255799033,100
67,5.963228461010658,9.603247255799033,100
68,5.676576242525698,9.603247255799033,100
69,-11.69896902096275,9.603247255799033,100
70,-18.88444990195694,9.603247255799033,100
71,6.607269665091735,9.603247255799033,100
72,8.845259089207502,9.603247255799033,100
73,8.293048586819168,9.603247255799033,100
74,6.50372639185116,9.603247255799033,100
75,-17.282205960583497,9.603247255799033,100
76,5.394683421252921,9.603247255799033,100
77,-3.6679014596084016,9.603247255799033,100
78,-7.146410230266611,9.603247255799033,100
79,6.937523838155357,9.603247255799033,100
80,6.169263848354603,9.603247255799033,100
81,8.344553160757641,9.603247255799033,100
82,7.538711859249361,9.603247255799033,100
83,6.9940732496652345,9.603247255799033,100
84,3.5371740587916065,9.603247255799033,100
85,-12.213355526034462,9.603247255799033,100
86,-15.030906150608189,9.603247255799033,100
87,6.5707975270070165,9.603247255799033,100
88,4.555799722423899,9.603247255799033,100
89,1.61598009892532,9.603247255799033,100
90,-11.060592028330575,9.603247255799033,100
91,6.828448526535794,9.603247255799033,100
92,9.476331520467284,9.603247255799033,100
93,6.380833734049702,9.603247255799033,100
94,9.58295284545784,9.603247255799033,100
95,7.218976912827202,9.603247255799033,100
96,1.6025962256243247,9.603247255799033,100
97,-11.6688216807338,9.603247255799033,100
98,9.060240729059387,9.603247255799033,100
99,-23.139907457257323,9.603247255799033,100
