trial,value,best_so_far,phase
0,0.17640456186290976,0.17640456186290976,Phase2
1,-5.978645366994897,0.17640456186290976,Phase2
2,-3.460936178778411,0.17640456186290976,Phase2
3,-3.5371420885178395,0.17640456186290976,Phase2
4,0.45316045071581357,0.45316045071581357,Phase2
5,-3.607718093436006,0.45316045071581357,Phase2
6,8.51729233450169,8.51729233450169,Phase2
7,0.295607664924205,8.51729233450169,Phase2
8,13.00573990081466,13.00573990081466,Phase2
9,8.753509313824452,13.00573990081466,Phase2
10,-19.173376354941865,13.00573990081466,Phase2
11,0.5112073129841974,13.00573990081466,Phase2
12,4.46814230379141,13.00573990081466,Phase2
13,2.8562793480596156,13.00573990081466,Phase2
14,2.294907927383548,13.00573990081466,Phase2
15,11.234798475343268,13.00573990081466,Phase2
16,12.446141106658615,13.00573990081466,Phase2
17,9.76478209279594,13.00573990081466,Phase2
18,2.5151069213557093,13.00573990081466,Phase2
19,3.223978404828813,13.00573990081466,Phase2
20,6.346207529945161,13.00573990081466,Phase2
21,10.752963384205941,13.00573990081466,Phase2
22,-5.0940464431732835,13.00573990081466,Phase2
23,20.70296207256615,20.70296207256615,Phase2
24,2.974834421617743,20.70296207256615,Phase2
25,11.104673814432317,20.70296207256615,Phase2
26,3.619136238195722,20.70296207256615,Phase2
27,4.361521685721527,20.70296207256615,Phase2
28,0.715373331901219,20.70296207256615,Phase2
29,-5.070441521623252,20.70296207256615,Phase2
