algorithm,episode,exec_time_s,reward_total,total_profit_cost,user_satisfaction,energy_charged_kwh,energy_discharged_kwh,transformer_overload_kwh,battery_degradation,battery_deg_calendar,battery_deg_cyclic,total_ev_served,seed,phase
ARS_Phase1,0,5.725,3.8532036575488746,5.107083190946435,0.6955714285714286,15.508866009997783,44.21390854433966,0.0,0.00014061279878151584,8.259030882141844e-05,5.802248996009739e-05,4.0,42,Phase1_HP_only
ARS_Phase1,1,5.193,1.3895016791066155,2.0006308364959455,0.6456666666666667,1.508685535424793,20.904273617019847,0.0,7.360190773630232e-05,5.493376027216587e-05,1.866814746413644e-05,4.0,42,Phase1_HP_only
ARS_Phase1,2,5.428,13.140740405768156,17.964235303601317,0.5377619047619048,0.00293755816963448,55.1258286320236,0.0,0.00010984267023321585,4.537650846292703e-05,6.446616177028882e-05,3.0,42,Phase1_HP_only
ARS_Phase1,3,4.251,21.583095613401383,34.89264948543657,0.6421428571428571,28.816889120840102,96.47928213776326,0.0,0.00027773624241221,0.00010699569571365665,0.00017074054669855338,5.0,42,Phase1_HP_only
ARS_Phase1,4,4.83,12.792706049978733,36.77542946394644,0.6224081632653061,32.95549978056777,102.30711045483878,0.0,0.00027058721083656335,0.00010245038972974392,0.0001681368211068195,7.0,42,Phase1_HP_only
ARS_Phase1,5,4.415,11.581049422966316,12.146130921681216,0.7834285714285715,19.128899181126307,45.14855087291675,0.0,0.0001531459748176973,8.958692959567979e-05,6.355904522201752e-05,5.0,42,Phase1_HP_only
ARS_Phase1,6,5.34,-0.6015923712402582,-0.16836432003742807,0.8124285714285714,38.620908939002874,34.55333281129518,0.0,0.0001451775105564552,6.659732693863068e-05,7.858018361782451e-05,4.0,42,Phase1_HP_only
ARS_Phase1,7,4.933,0.6356352441944182,1.1467648298583422,0.731904761904762,8.261645704568046,29.8263583113428,0.0,9.365241375156341e-05,5.612517172959529e-05,3.752724202196811e-05,3.0,42,Phase1_HP_only
ARS_Phase1,8,5.418,-0.6404837011941709,1.5515199522420113,0.7271190476190476,18.111930587089592,30.350075049925792,0.0,0.00013602430882822712,9.284983888671147e-05,4.3174469941515644e-05,6.0,42,Phase1_HP_only
ARS_Phase1,9,4.649,5.060029049869627,6.250036369126262,0.6641714285714286,3.214187468215271,45.23861751491034,0.0,0.00011945692145470565,7.694529945954665e-05,4.251162199515901e-05,5.0,42,Phase1_HP_only
ARS_Phase1,10,4.813,2.2824031226336956,2.896033244198311,0.6114285714285714,0.0,26.781274427572107,0.0,5.673841366130727e-05,3.0271875441598054e-05,2.6466538219709215e-05,2.0,42,Phase1_HP_only
ARS_Phase1,11,4.396,-0.3250535889528692,3.841733731159841,0.5908857142857143,3.1521661928978317,49.60338554998391,0.0,0.00012936825263296263,8.069777582671886e-05,4.867047680624375e-05,5.0,42,Phase1_HP_only
ARS_Phase1,12,4.883,7.867237035185099,21.192233181227373,0.6309591836734694,23.230108103565353,100.12577439331558,0.0,0.00026157725029370203,0.0001119239466428023,0.00014965330365089975,7.0,42,Phase1_HP_only
ARS_Phase1,13,5.159,0.32858009269693866,0.7979179967935464,0.7571071428571429,19.09684395830556,27.42382370796079,0.0,0.00012274526262911228,7.84158976947184e-05,4.432936493439388e-05,4.0,42,Phase1_HP_only
ARS_Phase1,14,4.503,-0.907738306093961,-0.8241188773460645,0.8866285714285713,13.505617674595737,8.084880615976466,0.0,8.016707280431434e-05,6.470147107494427e-05,1.5465601729370068e-05,5.0,42,Phase1_HP_only
ARS_Phase1,15,5.415,-10.099990269169211,4.1257685779102236,0.6948095238095239,33.12174432141684,73.70806039080367,0.0,0.0002491458052224811,0.00011225017552199444,0.00013689562970048663,6.0,42,Phase1_HP_only
ARS_Phase1,16,5.961,0.5520821639802307,1.4517224847516543,0.6593571428571429,0.08014545496783154,38.972307108442415,0.0,0.00010778667867342384,7.17471996933194e-05,3.603947898010445e-05,4.0,42,Phase1_HP_only
