trial,value,best_so_far,n_trials_budget
0,10.93868887424469,10.93868887424469,30
1,-6.000696394825354,10.93868887424469,30
2,10.847778372932225,10.93868887424469,30
3,13.84822503279429,13.84822503279429,30
4,16.872324778116308,16.872324778116308,30
5,-3.5475118858739734,16.872324778116308,30
6,-0.24580002354923636,16.872324778116308,30
7,-0.5132609858211481,16.872324778116308,30
8,7.42593917902559,16.872324778116308,30
9,6.542711792513728,16.872324778116308,30
10,2.1671283929026686,16.872324778116308,30
11,-5.299020655453205,16.872324778116308,30
12,-12.226377038168721,16.872324778116308,30
13,-0.06583395811867376,16.872324778116308,30
14,5.217197823949391,16.872324778116308,30
15,3.8362538579385728,16.872324778116308,30
16,13.787497448865906,16.872324778116308,30
17,1.1731523798080161,16.872324778116308,30
18,16.963860509335063,16.963860509335063,30
19,16.189511987715377,16.963860509335063,30
20,11.43328087113332,16.963860509335063,30
21,15.668539379970753,16.963860509335063,30
22,14.818517004918249,16.963860509335063,30
23,14.714424553589197,16.963860509335063,30
24,16.706885017642662,16.963860509335063,30
25,11.019472915621009,16.963860509335063,30
26,-1.6244691194769985,16.963860509335063,30
27,13.000329218248226,16.963860509335063,30
28,14.427234673581552,16.963860509335063,30
29,6.691962301381864,16.963860509335063,30
0,10.93868887424469,10.93868887424469,60
1,-6.000696394825354,10.93868887424469,60
2,10.847778372932225,10.93868887424469,60
3,13.84822503279429,13.84822503279429,60
4,16.872324778116308,16.872324778116308,60
5,-3.5475118858739734,16.872324778116308,60
6,-0.24580002354923636,16.872324778116308,60
7,-0.5132609858211481,16.872324778116308,60
8,7.42593917902559,16.872324778116308,60
9,6.542711792513728,16.872324778116308,60
10,2.1671283929026686,16.872324778116308,60
11,-5.299020655453205,16.872324778116308,60
12,-12.226377038168721,16.872324778116308,60
13,-0.06583395811867376,16.872324778116308,60
14,5.217197823949391,16.872324778116308,60
15,3.8362538579385728,16.872324778116308,60
16,13.787497448865906,16.872324778116308,60
17,1.1731523798080161,16.872324778116308,60
18,16.963860509335063,16.963860509335063,60
19,16.189511987715377,16.963860509335063,60
20,11.43328087113332,16.963860509335063,60
21,15.668539379970753,16.963860509335063,60
22,14.818517004918249,16.963860509335063,60
23,14.714424553589197,16.963860509335063,60
24,16.706885017642662,16.963860509335063,60
25,11.019472915621009,16.963860509335063,60
26,-1.6244691194769985,16.963860509335063,60
27,13.000329218248226,16.963860509335063,60
28,14.427234673581552,16.963860509335063,60
29,6.691962301381864,16.963860509335063,60
30,-6.715116830659099,16.963860509335063,60
31,16.202799283077184,16.963860509335063,60
32,12.374259860167513,16.963860509335063,60
33,13.292378341444419,16.963860509335063,60
34,-6.78445763833588,16.963860509335063,60
35,12.821410347984056,16.963860509335063,60
36,-4.420199272688478,16.963860509335063,60
37,12.909071884365403,16.963860509335063,60
38,3.956071474298369,16.963860509335063,60
39,-18.156042944989167,16.963860509335063,60
40,0.7636768922675401,16.963860509335063,60
41,16.085299034988566,16.963860509335063,60
42,15.619302155067999,16.963860509335063,60
43,17.525344617628434,17.525344617628434,60
44,4.340923989403109,17.525344617628434,60
45,-14.168783895904198,17.525344617628434,60
46,13.259531720657833,17.525344617628434,60
47,-7.751904683653265,17.525344617628434,60
48,20.357884521596134,20.357884521596134,60
49,-8.494380138348788,20.357884521596134,60
50,24.393830113112926,24.393830113112926,60
51,27.43910808628425,27.43910808628425,60
52,28.442038238514215,28.442038238514215,60
53,24.822255615144968,28.442038238514215,60
54,25.63076159544289,28.442038238514215,60
55,24.928419515490532,28.442038238514215,60
56,18.008102741790935,28.442038238514215,60
57,21.224535772576928,28.442038238514215,60
58,16.474185389466584,28.442038238514215,60
59,22.349889285862446,28.442038238514215,60
0,10.93868887424469,10.93868887424469,100
1,-6.000696394825354,10.93868887424469,100
2,10.847778372932225,10.93868887424469,100
3,13.84822503279429,13.84822503279429,100
4,16.872324778116308,16.872324778116308,100
5,-3.5475118858739734,16.872324778116308,100
6,-0.24580002354923636,16.872324778116308,100
7,-0.5132609858211481,16.872324778116308,100
8,7.42593917902559,16.872324778116308,100
9,6.542711792513728,16.872324778116308,100
10,2.1671283929026686,16.872324778116308,100
11,-5.299020655453205,16.872324778116308,100
12,-12.226377038168721,16.872324778116308,100
13,-0.06583395811867376,16.872324778116308,100
14,5.217197823949391,16.872324778116308,100
15,3.8362538579385728,16.872324778116308,100
16,13.787497448865906,16.872324778116308,100
17,1.1731523798080161,16.872324778116308,100
18,16.963860509335063,16.963860509335063,100
19,16.189511987715377,16.963860509335063,100
20,11.43328087113332,16.963860509335063,100
21,15.668539379970753,16.963860509335063,100
22,14.818517004918249,16.963860509335063,100
23,14.714424553589197,16.963860509335063,100
24,16.706885017642662,16.963860509335063,100
25,11.019472915621009,16.963860509335063,100
