number,value,datetime_start,datetime_complete,duration,params_bs,params_buf,params_discharge_price_factor,params_ent,params_gamma,params_gs,params_lr,params_lstarts,params_n_layers,params_n_steps,params_pi_l0,params_pi_l1,params_pi_l2,params_pi_l3,params_qf_l0,params_qf_l1,params_qf_l2,params_qf_l3,params_spawn_multiplier,params_tau,params_tf,params_transformer_max_power,params_tui,params_use_sde,user_attrs_yaml_path,state
17,14.436380876650219,2026-05-26 17:20:11.768778,2026-05-26 18:11:55.067771,0 days 00:51:43.298993,256,1000000,1.1255573387307132,0.01,0.9348069335549902,8,0.0007558555396844767,1000,3,5,256,64,1024.0,,256,128,128.0,,5,0.0014813871407967129,4,100,2,True,results_sac_model1/optuna_phase2/trial_17.yaml,COMPLETE
18,25.436188901076093,2026-05-26 18:11:55.070297,2026-05-26 18:56:23.583532,0 days 00:44:28.513235,1024,1000000,1.1929528292607405,auto,0.9499806691134518,8,0.0006685102105830915,10000,2,5,256,64,,,256,256,,,6,0.0016533933839287442,1,250,2,False,results_sac_model1/optuna_phase2/trial_18.yaml,COMPLETE
19,24.975643121342728,2026-05-26 18:56:23.587317,2026-05-26 19:48:28.613594,0 days 00:52:05.026277,512,1000000,1.2587897624230233,0.1,0.9345668678403499,8,0.0020634308498221577,5000,3,5,512,512,128.0,,256,64,128.0,,5,0.0019631474219483904,8,100,2,True,results_sac_model1/optuna_phase2/trial_19.yaml,COMPLETE
20,30.040468343446264,2026-05-26 19:48:28.615055,2026-05-26 20:43:08.746677,0 days 00:54:40.131622,512,1000000,1.112127226944962,0.1,0.9165583576444625,8,0.0008934271826277437,1000,2,1,64,1024,,,256,64,,,6,0.0010406545903137731,4,200,2,True,results_sac_model1/optuna_phase2/trial_20.yaml,COMPLETE
21,32.222489502320514,2026-05-26 20:43:08.748343,2026-05-26 21:31:12.207603,0 days 00:48:03.459260,512,100000,1.4325456117596118,0.1,0.9466326051709132,4,0.0017629883054077892,1000,2,10,256,256,,,512,64,,,4,0.0033119256174508967,4,100,4,True,results_sac_model1/optuna_phase2/trial_21.yaml,COMPLETE
22,37.51813114183369,2026-05-26 21:31:12.209118,2026-05-26 22:19:28.897269,0 days 00:48:16.688151,512,100000,1.436309240186091,0.1,0.9574458456295513,4,0.001357595308053658,1000,2,3,256,64,,,512,64,,,4,0.004054798692512994,4,100,4,True,results_sac_model1/optuna_phase2/trial_22.yaml,COMPLETE
23,11.724001866972685,2026-05-26 22:19:28.899641,2026-05-26 23:17:39.147343,0 days 00:58:10.247702,512,100000,1.2917390772763104,0.1,0.9551769926315412,8,0.002994380175853274,1000,2,3,256,64,,,512,64,,,4,0.004536276809496576,4,100,2,True,results_sac_model1/optuna_phase2/trial_23.yaml,COMPLETE
24,31.821934131799935,2026-05-26 23:17:39.148869,2026-05-27 00:07:14.657312,0 days 00:49:35.508443,512,1000000,1.417910490396037,0.1,0.9584205807322465,4,0.00126526124742478,1000,2,3,1024,64,,,64,64,,,5,0.0025697613599027303,4,100,4,True,results_sac_model1/optuna_phase2/trial_24.yaml,COMPLETE
25,38.79072265667128,2026-05-27 00:07:14.660192,2026-05-27 01:01:23.683542,0 days 00:54:09.023350,512,100000,1.4348514012506193,0.1,0.9396159493336459,8,0.0007669688429487253,1000,2,3,256,64,,,256,128,,,4,0.008296057655596973,4,150,2,True,results_sac_model1/optuna_phase2/trial_25.yaml,COMPLETE
26,23.372076735679002,2026-05-27 01:01:23.684684,2026-05-27 01:57:46.821960,0 days 00:56:23.137276,256,100000,1.4324727296203479,0.001,0.9355810711818102,4,0.0005879206521012796,1000,3,3,256,64,64.0,,512,128,512.0,,3,0.008343471927578072,4,150,4,False,results_sac_model1/optuna_phase2/trial_26.yaml,COMPLETE
27,14.87835929141147,2026-05-27 01:57:46.824918,2026-05-27 02:49:38.234981,0 days 00:51:51.410063,1024,100000,1.44015106035151,auto,0.9601744496999904,4,0.001984417258204427,1000,2,3,256,1024,,,512,128,,,4,0.008092130789631252,4,150,4,True,results_sac_model1/optuna_phase2/trial_27.yaml,COMPLETE
28,18.57518106966745,2026-05-27 02:49:38.238832,2026-05-27 03:40:38.982605,0 days 00:51:00.743773,128,100000,1.3294672678942756,0.01,0.950820301897033,1,0.0008876999493970595,10000,2,3,256,64,,,256,128,,,3,0.00426329812319627,1,150,1,True,results_sac_model1/optuna_phase2/trial_28.yaml,COMPLETE
29,35.1941942492449,2026-05-27 03:40:38.985489,2026-05-27 04:25:19.537590,0 days 00:44:40.552101,128,100000,1.384055754091405,auto,0.9014566800587069,8,0.0005017993391270885,5000,3,3,64,512,256.0,,1024,256,512.0,,4,0.010981159436673231,8,200,2,True,results_sac_model1/optuna_phase2/trial_29.yaml,COMPLETE
