episode,exec_time_s,reward_total,total_profit_cost,user_satisfaction,energy_charged_kwh,energy_discharged_kwh,transformer_overload_kwh,battery_degradation,battery_deg_calendar,battery_deg_cyclic,total_ev_served,seed,phase
0,2.101,12.090832069516182,15.505890985875132,0.48732142857142857,0.0,87.11489486372919,0.0,0.00016631709369895279,7.248977745287236e-05,9.382731624608042e-05,4.0,42,Proxy_M2
1,2.087,4.302053149789572,5.982037144778141,0.5566190476190477,0.0,49.95101507526621,0.0,9.696274103439336e-05,5.1877820687474906e-05,4.508492034691846e-05,4.0,42,Proxy_M2
2,2.11,21.50709418952465,30.104758641571472,0.36823809523809525,0.04833114573440267,90.78861619580216,0.0,0.00015688767261376853,3.950763798089999e-05,0.00011738003463286853,3.0,42,Proxy_M2
3,2.088,64.89415442943573,111.16388152199308,0.2468285714285714,0.0,206.07176655052092,0.0,0.0003922593357955111,7.331489047507372e-05,0.00031894444532043736,5.0,42,Proxy_M2
4,2.054,79.76237773895264,136.04620802725492,0.27255102040816326,0.0,240.904290708564,0.0,0.0004182647467217683,7.850772777374903e-05,0.00033975701894801925,7.0,42,Proxy_M2
5,2.029,48.29255612194538,79.36852405496963,0.2982857142857143,0.0,195.93917598546207,0.0,0.0003637899635990891,6.324840435872653e-05,0.0003005415592403625,5.0,42,Proxy_M2
6,2.034,50.32767978310585,84.40627637156882,0.256,0.0,151.74218693401096,0.0,0.0002738163623146472,4.379480457865977e-05,0.00023002155773598743,4.0,42,Proxy_M2
7,2.03,6.785152792930603,8.693937925490783,0.5373809523809524,0.3508442115811483,62.78160405272971,0.0,0.00012557038788110834,5.5054378431693756e-05,7.051600944941457e-05,3.0,42,Proxy_M2
8,2.073,7.23816460557282,9.57108338921563,0.5606666666666666,0.0,82.10148072942432,0.0,0.00016515524849439355,8.52268822898827e-05,7.992836620451086e-05,6.0,42,Proxy_M2
9,2.032,9.513131922110915,11.50669540673243,0.5634571428571429,1.9928838027822893,79.27161455079889,0.0,0.00015566932538138497,7.280505070906607e-05,8.286427467231892e-05,5.0,42,Proxy_M2
10,1.999,3.03135397285223,3.9024301073288297,0.5454285714285714,0.0,36.0515429034358,0.0,6.599384460445075e-05,2.8955782758778574e-05,3.703806184567218e-05,2.0,42,Proxy_M2
11,2.053,2.8499948570970446,4.522395958738937,0.5992285714285714,2.8719896542654744,46.34613237048926,0.0,0.00012723739759521173,8.524052440440569e-05,4.199687319080605e-05,5.0,42,Proxy_M2
12,1.988,41.04308998025954,58.40566456984674,0.3760408163265306,0.0,201.91561036877528,0.0,0.00035197780261225526,9.242382150784398e-05,0.0002595539811044113,7.0,42,Proxy_M2
13,2.07,5.286687150597572,6.7233648725728345,0.5632142857142858,0.0,62.64586669504215,0.0,0.0001346402520252481,7.155469485251073e-05,6.308555717273739e-05,4.0,42,Proxy_M2
14,2.026,14.159897789359093,15.405870699609302,0.6023714285714286,0.0,94.08516614401894,0.0,0.00015572400985963426,5.6064950335875834e-05,9.965905952375843e-05,5.0,42,Proxy_M2
15,2.035,9.275443000718951,11.435439857449076,0.5676666666666667,0.04118124000076051,93.97187616479746,0.0,0.00019956358474803172,0.00010511917725868185,9.444440748934983e-05,6.0,42,Proxy_M2
16,2.061,1.6930488219077233,2.283173071643709,0.6586428571428571,4.712009580974969,43.77881738147836,0.0,0.0001174760310304452,7.437950441691578e-05,4.3096526613529444e-05,4.0,42,Proxy_M2
17,2.072,31.387417793273926,46.91669295414043,0.3819047619047619,0.5928879196340575,168.04822510290322,0.0,0.0003055226357025912,9.949713461783065e-05,0.00020602550108476055,6.0,42,Proxy_M2
18,2.041,27.082280211150646,34.41033149024984,0.46673809523809523,6.321569755432578,145.69773063078276,0.0,0.0002620941020833142,8.184305493154272e-05,0.00018025104715177148,6.0,42,Proxy_M2
19,2.09,3.8281151866540313,4.648177703990271,0.5910000000000001,0.23167911602042235,46.38897637926527,0.0,0.00011356320964011913,6.75431420952629e-05,4.602006754485625e-05,3.0,42,Proxy_M2
